character,level,strokes,grade,freq,onyomi,kunyomi,meanings
九,N5,2,1,55,キュウ; ク,ここの; ここの.つ,nine
入,N5,2,1,56,ニュウ; ジュ,い.る; -い.る; -い.り; い.れる; -い.れ; はい.る,enter; insert
学,N5,8,1,63,ガク,まな.ぶ,study; learning; science
高,N5,10,2,65,コウ,たか.い; たか; -だか; たか.まる; たか.める,tall; high; expensive
円,N5,4,1,69,エン,まる.い; まる; まど; まど.か; まろ.やか,circle; yen; round
子,N5,3,1,72,シ; ス; ツ,こ; -こ; ね,child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac
外,N5,5,2,81,ガイ; ゲ,そと; ほか; はず.す; はず.れる; と-,outside
八,N5,2,1,92,ハチ; ハツ,や; や.つ; やっ.つ; よう,eight; eight radical (no. 12)
六,N5,4,1,93,ロク; リク,む; む.つ; むっ.つ; むい,six
下,N5,3,1,97,カ; ゲ,した; しも; もと; さ.げる; さ.がる; くだ.る; くだ.り; くだ.す; -くだ.す; くだ.さる; お.ろす; お.りる,below; down; descend; give; low; inferior
来,N5,7,2,102,ライ; タイ,く.る; きた.る; きた.す; き.たす; き.たる; き; こ,come; due; next; cause; become
気,N5,6,1,113,キ; ケ,いき; き,spirit; mind; air; atmosphere; mood
小,N5,3,1,114,ショウ,ちい.さい; こ-; お-; さ-,little; small
七,N5,2,1,115,シチ,なな; なな.つ; なの,seven
山,N5,3,1,131,サン; セン,やま,mountain
話,N5,13,2,134,ワ,はな.す; はなし,tale; talk
女,N5,3,1,151,ジョ; ニョ; ニョウ,おんな; め,woman; female
北,N5,5,2,153,ホク,きた,north
午,N5,4,2,154,ゴ,うま,noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac
百,N5,6,1,163,ヒャク; ビャク,もも,hundred
書,N5,10,2,169,ショ,か.く; -が.き; -がき,write
先,N5,6,1,173,セン,さき; ま.ず,before; ahead; previous; future; precedence
名,N5,6,1,177,メイ; ミョウ,な; -な,name; noted; distinguished; reputation
川,N5,3,1,181,セン,かわ,stream; river; river or three-stroke river radical (no. 47)
千,N5,3,1,195,セン,ち,thousand
水,N5,4,1,223,スイ,みず; みず-,water
半,N5,5,2,224,ハン,なか.ば,half; middle; odd number; semi-; part-
男,N5,7,1,240,ダン; ナン,おとこ; お,male
西,N5,6,2,259,セイ; サイ; ス,にし,west; Spain
電,N5,13,2,268,デン,,electricity
校,N5,10,1,294,コウ; キョウ,,exam; school; printing; proof; correction
語,N5,14,2,301,ゴ,かた.る; かた.らう,word; speech; language
土,N5,3,1,307,ド; ト,つち,soil; earth; ground; Turkey
木,N5,4,1,317,ボク; モク,き; こ-,tree; wood
聞,N5,14,2,319,ブン; モン,き.く; き.こえる,hear; ask; listen
食,N5,9,2,328,ショク; ジキ,く.う; く.らう; た.べる; は.む,eat; food
車,N5,7,1,333,シャ,くるま,car
何,N5,7,2,340,カ,なに; なん; なに-; なん-,what
南,N5,9,2,341,ナン; ナ,みなみ,south
万,N5,3,2,375,マン; バン,よろず,"ten thousand; 10,000"
毎,N5,6,2,436,マイ,ごと; -ごと.に,every
白,N5,5,1,483,ハク; ビャク,しろ; しら-; しろ.い,white
天,N5,4,1,512,テン,あまつ; あめ; あま-,heavens; sky; imperial
母,N5,5,2,570,ボ,はは; も,mother
火,N5,4,1,574,カ,ひ; -び; ほ-,fire
右,N5,5,1,602,ウ; ユウ,みぎ,right
読,N5,14,2,618,ドク; トク; トウ,よ.む; -よ.み,read
友,N5,4,2,622,ユウ,とも,friend
左,N5,5,1,630,サ; シャ,ひだり,left
休,N5,6,1,642,キュウ,やす.む; やす.まる; やす.める,rest; day off; retire; sleep
父,N5,4,2,646,フ,ちち,father
雨,N5,8,1,950,ウ,あめ; あま-; -さめ,rain
