Level,Kanji,Hiragana,Furigana Format,English Meaning,Romaji,Example
N5,ペン,ペン,ペン,pen,pen,ペンを貸してください。 (Please lend me a pen.)
N5,紙,かみ,紙[かみ],paper,kami,紙に名前を書きます。 (I write my name on the paper.)
N5,机,つくえ,机[つくえ],desk,tsukue,机の上に本があります。 (There is a book on the desk.)
N5,椅子,いす,椅子[いす],chair,isu,椅子に座ります。 (I sit on the chair.)
N5,試験,しけん,試験[しけん],exam,shiken,明日、試験があります。 (There is an exam tomorrow.)
N5,問題,もんだい,問題[もんだい],problem / question,mondai,問題が難しいです。 (The problem is difficult.)
N5,宿題,しゅくだい,宿題[しゅくだい],homework,shukudai,宿題をしなければなりません。 (I have to do homework.)
N5,言葉,ことば,言葉[ことば],word / language,kotoba,新しい言葉を覚えます。 (I memorize new words.)
N5,漢字,かんじ,漢字[かんじ],kanji,kanji,漢字を勉強します。 (I study kanji.)
N5,日本語,にほんご,日本語[にほんご],Japanese language,nihongo,日本語を話します。 (I speak Japanese.)
N5,英語,えいご,英語[えいご],English language,eigo,英語を教えています。 (I teach English.)
N5,クラス,クラス,クラス,class,kurasu,クラスは楽しいです。 (The class is fun.)
N5,行く,いく,行[い]く,to go,iku,学校へ行きます。 (I go to school.)
N5,来る,くる,来[く]る,to come,kuru,友達が来ます。 (A friend is coming.)
N5,帰る,かえる,帰[かえ]る,to return / go home,kaeru,六時に帰ります。 (I go home at six.)
N5,食べる,たべる,食[た]べる,to eat,taberu,朝ご飯を食べます。 (I eat breakfast.)
N5,飲む,のむ,飲[の]む,to drink,nomu,水を飲みます。 (I drink water.)
N5,見る,みる,見[み]る,to see / watch,miru,テレビを見ます。 (I watch TV.)
N5,聞く,きく,聞[き]く,to listen / ask,kiku,音楽を聞きます。 (I listen to music.)
N5,話す,はなす,話[はな]す,to speak,hanasu,友達と話します。 (I talk with a friend.)
N5,読む,よむ,読[よ]む,to read,yomu,新聞を読みます。 (I read the newspaper.)
N5,書く,かく,書[か]く,to write,kaku,手紙を書きます。 (I write a letter.)
N5,買う,かう,買[か]う,to buy,kau,服を買います。 (I buy clothes.)
N5,売る,うる,売[う]る,to sell,uru,野菜を売ります。 (I sell vegetables.)
N5,使う,つかう,使[つか]う,to use,tsukau,パソコンを使います。 (I use a computer.)
N5,作る,つくる,作[つく]る,to make,tsukuru,料理を作ります。 (I make food.)
N5,待つ,まつ,待[ま]つ,to wait,matsu,友達を待ちます。 (I wait for a friend.)
N5,会う,あう,会[あ]う,to meet,au,友達に会います。 (I meet a friend.)
N5,立つ,たつ,立[た]つ,to stand,tatsu,ここに立ってください。 (Please stand here.)
N5,座る,すわる,座[すわ]る,to sit,suwaru,椅子に座ります。 (I sit on a chair.)
N5,寝る,ねる,寝[ね]る,to sleep,neru,十時に寝ます。 (I sleep at ten.)
N5,起きる,おきる,起[お]きる,to wake up,okiru,六時に起きます。 (I wake up at six.)
N5,働く,はたらく,働[はたら]く,to work,hataraku,会社で働きます。 (I work at a company.)
N5,休む,やすむ,休[やす]む,to rest / be absent,yasumu,今日は休みます。 (I'll rest today.)
N5,習う,ならう,習[なら]う,to learn,narau,日本語を習います。 (I learn Japanese.)
N5,教える,おしえる,教[おし]える,to teach,oshieru,英語を教えます。 (I teach English.)
N5,分かる,わかる,分[わ]かる,to understand,wakaru,意味が分かります。 (I understand the meaning.)
N5,知る,しる,知[し]る,to know,shiru,その人を知っています。 (I know that person.)
N5,忘れる,わすれる,忘[わす]れる,to forget,wasureru,名前を忘れました。 (I forgot the name.)
N5,思う,おもう,思[おも]う,to think,omou,そう思います。 (I think so.)
N5,入る,はいる,入[はい]る,to enter,hairu,部屋に入ります。 (I enter the room.)
N5,出る,でる,出[で]る,to go out / leave,deru,家を出ます。 (I leave the house.)
N5,開ける,あける,開[あ]ける,to open (something),akeru,窓を開けます。 (I open the window.)
N5,閉める,しめる,閉[し]める,to close (something),shimeru,ドアを閉めます。 (I close the door.)
N5,始まる,はじまる,始[はじ]まる,to begin (intransitive),hajimaru,授業が始まります。 (Class begins.)
N5,終わる,おわる,終[お]わる,to end,owaru,仕事が終わります。 (Work ends.)
N5,走る,はしる,走[はし]る,to run,hashiru,毎朝走ります。 (I run every morning.)
N5,歩く,あるく,歩[ある]く,to walk,aruku,駅まで歩きます。 (I walk to the station.)
N5,乗る,のる,乗[の]る,to ride / board,noru,バスに乗ります。 (I ride the bus.)
N5,降りる,おりる,降[お]りる,to get off,oriru,次の駅で降ります。 (I get off at the next station.)
N5,洗う,あらう,洗[あら]う,to wash,arau,手を洗います。 (I wash my hands.)
N5,切る,きる,切[き]る,to cut,kiru,野菜を切ります。 (I cut vegetables.)
N5,持つ,もつ,持[も]つ,to hold / have,motsu,傘を持っています。 (I have an umbrella.)
N5,取る,とる,取[と]る,to take,toru,写真を取ります。 (I take a photo.)
N5,出す,だす,出[だ]す,to take out / submit,dasu,手紙を出します。 (I send a letter.)
N5,入れる,いれる,入[い]れる,to put in,ireru,砂糖を入れます。 (I put in sugar.)
N5,死ぬ,しぬ,死[し]ぬ,to die,shinu,犬が死にました。 (The dog died.)
N5,言う,いう,言[い]う,to say,iu,名前を言います。 (I say my name.)
N5,笑う,わらう,笑[わら]う,to laugh,warau,子供が笑います。 (The child laughs.)
N5,泣く,なく,泣[な]く,to cry,naku,赤ちゃんが泣きます。 (The baby cries.)
N5,歌う,うたう,歌[うた]う,to sing,utau,歌を歌います。 (I sing a song.)
N5,撮る,とる,撮[と]る,to take (a photo),toru,写真を撮ります。 (I take a photo.)
N5,貸す,かす,貸[か]す,to lend,kasu,本を貸します。 (I lend a book.)
N5,借りる,かりる,借[か]りる,to borrow,kariru,お金を借ります。 (I borrow money.)
N5,送る,おくる,送[おく]る,to send,okuru,メールを送ります。 (I send an email.)
N5,もらう,もらう,もらう,to receive,morau,プレゼントをもらいました。 (I received a present.)
N5,あげる,あげる,あげる,to give,ageru,花をあげます。 (I give flowers.)
N5,くれる,くれる,くれる,to give (to me),kureru,友達がくれました。 (A friend gave it to me.)
N5,できる,できる,できる,to be able to,dekiru,泳ぐことができます。 (I can swim.)
N5,する,する,する,to do,suru,宿題をします。 (I do homework.)
N5,ある,ある,ある,to exist (things),aru,机の上に本があります。 (There is a book on the desk.)
N5,いる,いる,いる,to exist (living things),iru,部屋に猫がいます。 (There is a cat in the room.)
N5,なる,なる,なる,to become,naru,先生になりました。 (I became a teacher.)
N5,かかる,かかる,かかる,to take (time/money),kakaru,一時間かかります。 (It takes one hour.)
N5,違う,ちがう,違[ちが]う,to be different / wrong,chigau,それは違います。 (That is wrong.)
N5,要る,いる,要[い]る,to need,iru,お金が要ります。 (I need money.)
N5,急ぐ,いそぐ,急[いそ]ぐ,to hurry,isogu,急いでください。 (Please hurry.)
N5,困る,こまる,困[こま]る,to be troubled,komaru,お金がなくて困っています。 (I'm troubled because I have no money.)
N5,住む,すむ,住[す]む,to live (reside),sumu,東京に住んでいます。 (I live in Tokyo.)
N5,散歩する,さんぽする,散歩[さんぽ]する,to take a walk,sanpo suru,公園を散歩します。 (I take a walk in the park.)
N5,料理する,りょうりする,料理[りょうり]する,to cook,ryouri suru,毎日料理します。 (I cook every day.)
N5,練習する,れんしゅうする,練習[れんしゅう]する,to practice,renshuu suru,ピアノを練習します。 (I practice piano.)
N5,旅行する,りょこうする,旅行[りょこう]する,to travel,ryokou suru,夏に旅行します。 (I travel in summer.)
N5,結婚する,けっこんする,結婚[けっこん]する,to marry,kekkon suru,来年結婚します。 (I'll get married next year.)
N5,洗濯する,せんたくする,洗濯[せんたく]する,to do laundry,sentaku suru,週末に洗濯します。 (I do laundry on weekends.)
N5,掃除する,そうじする,掃除[そうじ]する,to clean,souji suru,部屋を掃除します。 (I clean my room.)
N5,運動する,うんどうする,運動[うんどう]する,to exercise,undou suru,毎朝運動します。 (I exercise every morning.)
N5,質問する,しつもんする,質問[しつもん]する,to ask a question,shitsumon suru,先生に質問します。 (I ask the teacher a question.)
N5,電話する,でんわする,電話[でんわ]する,to phone,denwa suru,友達に電話します。 (I call a friend.)
N5,勉強する,べんきょうする,勉強[べんきょう]する,to study,benkyou suru,日本語を勉強します。 (I study Japanese.)
N5,買い物する,かいものする,買[か]い物[もの]する,to shop,kaimono suru,デパートで買い物します。 (I shop at the department store.)
N5,仕事する,しごとする,仕事[しごと]する,to work,shigoto suru,毎日仕事します。 (I work every day.)
N5,大きい,おおきい,大[おお]きい,big,ookii,この家は大きいです。 (This house is big.)
N5,小さい,ちいさい,小[ちい]さい,small,chiisai,猫は小さいです。 (The cat is small.)
N5,新しい,あたらしい,新[あたら]しい,new,atarashii,新しい車を買いました。 (I bought a new car.)
N5,古い,ふるい,古[ふる]い,old (things),furui,古い本があります。 (There is an old book.)
N5,良い,いい / よい,良[い]い,good,ii / yoi,天気がいいです。 (The weather is good.)
N5,悪い,わるい,悪[わる]い,bad,warui,天気が悪いです。 (The weather is bad.)
N5,高い,たかい,高[たか]い,tall / expensive / high,takai,この時計は高いです。 (This watch is expensive.)
N5,安い,やすい,安[やす]い,cheap,yasui,この店は安いです。 (This shop is cheap.)
N5,低い,ひくい,低[ひく]い,low / short,hikui,山が低いです。 (The mountain is low.)
N5,長い,ながい,長[なが]い,long,nagai,髪が長いです。 (The hair is long.)
N5,短い,みじかい,短[みじか]い,short,mijikai,スカートが短いです。 (The skirt is short.)
N5,多い,おおい,多[おお]い,many,ooi,学生が多いです。 (There are many students.)
N5,少ない,すくない,少[すく]ない,few,sukunai,お金が少ないです。 (I have little money.)
N5,暑い,あつい,暑[あつ]い,hot (weather),atsui,今日は暑いです。 (Today is hot.)
N5,寒い,さむい,寒[さむ]い,cold (weather),samui,冬は寒いです。 (Winter is cold.)
N5,暖かい,あたたかい,暖[あたた]かい,warm,atatakai,春は暖かいです。 (Spring is warm.)
N5,涼しい,すずしい,涼[すず]しい,cool,suzushii,秋は涼しいです。 (Autumn is cool.)
N5,熱い,あつい,熱[あつ]い,hot (to touch),atsui,お茶が熱いです。 (The tea is hot.)
N5,冷たい,つめたい,冷[つめ]たい,cold (to touch),tsumetai,水が冷たいです。 (The water is cold.)
N5,忙しい,いそがしい,忙[いそが]しい,busy,isogashii,毎日忙しいです。 (I'm busy every day.)
N5,暇,ひま,暇[ひま],free (time),hima,今日は暇です。 (I'm free today.)
N5,難しい,むずかしい,難[むずか]しい,difficult,muzukashii,この問題は難しいです。 (This problem is difficult.)
N5,易しい,やさしい,易[やさ]しい,easy,yasashii,この本は易しいです。 (This book is easy.)
N5,面白い,おもしろい,面白[おもしろ]い,interesting / funny,omoshiroi,この映画は面白いです。 (This movie is interesting.)
N5,つまらない,つまらない,つまらない,boring,tsumaranai,この授業はつまらないです。 (This class is boring.)
N5,楽しい,たのしい,楽[たの]しい,fun,tanoshii,旅行は楽しいです。 (The trip is fun.)
N5,嬉しい,うれしい,嬉[うれ]しい,happy / glad,ureshii,会えて嬉しいです。 (I'm glad to see you.)
N5,悲しい,かなしい,悲[かな]しい,sad,kanashii,その話は悲しいです。 (That story is sad.)
N5,痛い,いたい,痛[いた]い,painful,itai,頭が痛いです。 (My head hurts.)
N5,美味しい,おいしい,美味[おい]しい,delicious,oishii,この料理は美味しいです。 (This dish is delicious.)
N5,まずい,まずい,まずい,not tasty,mazui,この薬はまずいです。 (This medicine tastes bad.)
N5,甘い,あまい,甘[あま]い,sweet,amai,ケーキは甘いです。 (The cake is sweet.)
N5,辛い,からい,辛[から]い,spicy,karai,カレーは辛いです。 (The curry is spicy.)
N5,重い,おもい,重[おも]い,heavy,omoi,荷物が重いです。 (The luggage is heavy.)
N5,軽い,かるい,軽[かる]い,light (weight),karui,このかばんは軽いです。 (This bag is light.)
N5,強い,つよい,強[つよ]い,strong,tsuyoi,風が強いです。 (The wind is strong.)
N5,弱い,よわい,弱[よわ]い,weak,yowai,彼は体が弱いです。 (He is physically weak.)
N5,速い,はやい,速[はや]い,fast,hayai,新幹線は速いです。 (The bullet train is fast.)
N5,遅い,おそい,遅[おそ]い,slow / late,osoi,バスが遅いです。 (The bus is slow.)
N5,近い,ちかい,近[ちか]い,near,chikai,駅は近いです。 (The station is near.)
N5,遠い,とおい,遠[とお]い,far,tooi,学校は遠いです。 (The school is far.)
N5,明るい,あかるい,明[あか]るい,bright,akarui,部屋は明るいです。 (The room is bright.)
N5,暗い,くらい,暗[くら]い,dark,kurai,夜は暗いです。 (The night is dark.)
N5,広い,ひろい,広[ひろ]い,wide / spacious,hiroi,公園は広いです。 (The park is spacious.)
N5,狭い,せまい,狭[せま]い,narrow / cramped,semai,部屋が狭いです。 (The room is cramped.)
N5,汚い,きたない,汚[きたな]い,dirty,kitanai,部屋が汚いです。 (The room is dirty.)
N5,危ない,あぶない,危[あぶ]ない,dangerous,abunai,その道は危ないです。 (That road is dangerous.)
N5,若い,わかい,若[わか]い,young,wakai,彼は若いです。 (He is young.)
N5,欲しい,ほしい,欲[ほ]しい,wanted / desired,hoshii,新しい靴が欲しいです。 (I want new shoes.)
N5,眠い,ねむい,眠[ねむ]い,sleepy,nemui,今、眠いです。 (I'm sleepy now.)
N5,元気,げんき,元気[げんき],healthy / energetic,genki,元気ですか。 (Are you doing well?)
N5,きれい,きれい,きれい,pretty / clean,kirei,花がきれいです。 (The flowers are pretty.)
N5,静か,しずか,静[しず]か,quiet,shizuka,図書館は静かです。 (The library is quiet.)
N5,賑やか,にぎやか,賑[にぎ]やか,lively,nigiyaka,この町は賑やかです。 (This town is lively.)
N5,便利,べんり,便利[べんり],convenient,benri,この道具は便利です。 (This tool is convenient.)
