word,reading,meanings,level,example_ja,example_en
おしゃべり,,chattering; talk; idle talk,N3,彼女はおしゃべりだ。,She has a loose tongue.
おそらく,,perhaps,N3,おそらく遅れる。,I'll probably be late.
オフィス,,office,N3,彼女のオフィスはどこ？,Where's her office?
おまえ,,(fam) you (sing); presence (of a high personage),N3,おまえは首だ。,You're fired.
おめでとう,,Congratulations!; an auspicious occasion!,N3,おめでとう！,Congratulations!
おや,,parents,N3,自分でおやり！,Do it by yourself.
およそ,,about; roughly; as a rule; approximately,N3,およそ２週間で。,In about two weeks.
お互い,おたがい,mutual; reciprocal; each other,N3,お互い仇同士だ。,They are bitter enemies.
お昼,おひる,lunch; noon,N3,お昼ですよ。,Lunch is on.
お腹,おなか,stomach,N3,お腹痛いの？,Does your stomach hurt?
カー,,car,N3,カールだわ。,That's Carl.
カード,,card; curd,N3,カード使えますか？,Do you accept credit cards?
がっかり,,feel disappointed; be dejected; lose heart,N3,がっかりだよ。,I'm disappointed.
かなり,,considerably; fairly; quite,N3,かなり寒い。,It's pretty cold.
かもしれない,,may; might; perhaps; may be; possibly,N3,明日は雨かもしれない。,It may rain tomorrow.
かわいそう,,poor; pitiable; pathetic,N3,かわいそうに！,What a pity!
かわいらしい,,lovely; sweet,N3,何とかわいらしい人形だ！,What a lovely doll!
きちんと,,precisely; accurately,N3,きちんと座りなさい。,Sit up straight.
きつい,,tight; close; intense,N3,私の靴、きついの。,My shoes are too small.
キャプテン,,captain,N3,私がキャプテンです。,I'm the captain.
キャンプ,,camp,N3,一緒にキャンプに行かない？,Would you like to go camping with us?
キロ,,(abbr) kilo-; kilogram; kilometre; 10^3,N3,体重何キロ？,How much do you weigh?
ぐっすり,,sound asleep; fast asleep,N3,ぐっすり寝たよ。,I had a good sleep.
クラシック,,classic(s),N3,クラシックはありません。,I don't have any classical music.
グラス,,(1) glass; (2) grass,N3,グラスを割った。,I broke a glass.
グランド,,gland; grand; (electrical) ground,N3,イングランド出身です。,I'm from England.
クリーム,,cream,N3,バターはクリームで作る。,Butter is made from cream.
クリスマス,,Christmas,N3,メリークリスマス！,Merry Christmas!
グループ,,group,N3,彼はグループからはぐれた。,He strayed from his group.
ケース,,case,N3,そのスーツケース重い？,Are your suitcases heavy?
ゲーム,,game,N3,ゲームしようよ。,Let's play a game.
けち,,stinginess; miser; miserliness,N3,彼はとてもけちだ。,He is very stingy with his money.
コーチ,,coach,N3,コーチでした。,I was a coach.
コード,,code; cord; chord,N3,製品コードは何ですか？,What's the product's code?
ゴール,,goal,N3,ゴールはまだ先だ。,The goal is still some distance away.
ここ,ここ,here,N3,ここが痛い。,It hurts here.
この,この,this,N3,この本です。,It's this book.
コピー,,(1) a (photo)copy; (2) blurb on a book jacket,N3,コピー用紙が要ります。,I need printer paper.
ごめんなさい,,I beg your pardon; excuse me,N3,遅れてごめんなさい。,Please excuse my being late.
これら,,these,N3,これらは人間だ。,These are people.
こんなに,,so; like this; in this way,N3,普段こんなに無口なの？,Are you normally this quiet?
こんにちは,,hello; good day (daytime greeting; id),N3,こんにちは。,Hello!
コンピューター,,computer,N3,コンピューターが落ちた。,The computer fell.
サービス,,(1) service; support system; (2) goods or services without charge,N3,あの店はサービスが良い。,That store gives good service.
サイン,,(1) autograph; (2) sign; (3) sine,N3,ここでサインして。,Sign here.
ざっと,,roughly; in round numbers,N3,彼の本にざっと目を通した。,I dipped into his book.
さっぱり,,feeling refreshed; feeling relieved; neat; trimmed,N3,私にはさっぱり。,It's all Greek to me.
さて,,well; now; then,N3,さて、何しようか？,"Well, what shall we do?"
ジーンズ,,jeans,N3,ジーンズは完売しました。,We're sold out of jeans.
ジェット機,ジェットき,jet aeroplane,N3,ジェット機は東京に着陸した。,The jet landed at Tokyo.
しかも,,moreover; furthermore; nevertheless; and yet,N3,,
しきりに,,frequently; repeatedly; incessantly; eagerly,N3,トムはしきりに謝った。,Tom apologized profusely.
したがって,したがって,therefore; consequently; in accordance with,N3,,
じっと,,fixedly; firmly; patiently; quietly,N3,じっとして！,Hold it!
しばしば,,often; again and again; frequently,N3,近頃彼にしばしば会う。,I have seen much of him lately.
しまい,（終わり）,sisters,N3,もうおしまい？,Is it over yet?
しまう,（終わる）,to finish; to close; to do something completely,N3,また太ってしまう！,I'll gain weight again!
しまった,（感）,Damn it!,N3,寝てしまった。,I fell asleep.
じゃあ,,well; well then,N3,じゃあまた。,See you then.
しゃべる,,to talk; to chat; to chatter,N3,今はしゃべるな。,Don't talk now.
ジュース,,juice; soft drink; deuce,N3,ジュースを飲んで。,Drink your juice.
スイッチ,,switch,N3,スイッチは切れている。,The switch is off.
スープ,,(Western) soup,N3,スープはどう？,How's the soup?
スキー,,skiing,N3,スキーは滑る？,Do you ski?
スケート,,skate(s); skating,N3,スケートってできる？,Can you skate?
すごい,,terrible; dreadful; terrific; amazing; great,N3,すごい花火だ！,These fireworks are spectacular!
スター,,star,N3,イースターおめでとう。,Happy Easter!
スタイル,,style,N3,彼はスタイルがいい。,He has a nice build.
スタンド,,stand,N3,ニューススタンドで買えますよ。,You can buy it at newsstands.
ずっと,,consecutively; throughout; a lot,N3,ずっと順調だね。,He's been batting a thousand.
すてき,,lovely; dreamy; beautiful; great,N3,このケーキはすてき！,The cake tastes divine!
すなわち,,that is; namely; i.e.,N3,,
スピーチ,,speech,N3,明日スピーチをします。,I'll give a speech tomorrow.
すみません,（感）,sorry; excuse me,N3,すみません。,I'm sorry.
すると,すると,thereupon; hereupon,N3,彼は遅刻すると思う。,I suppose he will be late.
セット,,set,N3,セットを片づけろ。,Strike the set.
センター,,a center,N3,コールセンターで働いてます。,I work in a call center.
そう,そう,so,N3,本当にそう。,You can't be so sure.
そこ,そこ,bottom; sole,N3,そこにいて。,Stay there.
そこで,,so (conj); accordingly; now; then; thereupon,N3,そこで止まって。,Stop there.
そして,,and,N3,そして愛が好き。,And I like love.
そっくり,,all; altogether; entirely; be just like; the splitting image of,N3,父親にそっくりだ。,He is the image of his father.
そっと,,face of the earth,N3,そっとしといてやれよ。,Leave him alone.
その,その,the; that,N3,その内訳は？,Give me the details.
そのうち,,eventually; sooner or later; of the previously mentioned,N3,そのうち分かるよ。,You'll understand sooner or later.
そのまま,,without change; as it is (i.e. now),N3,そのまま続けて。,Keep going.
ソファー,,sofa; couch,N3,ソファーの上だよ。,It's on the sofa.
それ,（接。感）,it; that,N3,話がそれた。,The story wandered.
それぞれ,,each; every; either; respectively; severally,N3,人それぞれ。,There's all kinds of people.
それでも,,but (still); and yet; nevertheless; even so; notwithstanding,N3,それでもよかった。,"Even so, it was nice."
それとも,,or; or else,N3,朝型？それとも夜型？,Are you a morning person or a night person?
タイプライター,,typewriter,N3,電子タイプライターはありますか。,Do you have an electronic typewriter?
ダイヤ,,(1) dyer; (2) diagram; (3) (railway) schedule; (4) diamond,N3,ダイヤル直通ですか。,Can I dial directly?
タオル,,(hand) towel,N3,タオルとって！,Give me a towel.
だから,だから,so; therefore,N3,だから何なの？,So what?
だけど,,however,N3,話があるんだけど。,Can we talk in private?
ただ,,free of charge; mere; only,N3,言っただろ！,I told you before!
だって,,but; because; even; also; too,N3,９時だってさ。,"He said, ""It's nine o'clock."""
たっぷり,,full; in plenty; ample,N3,時間はたっぷりある。,We have all kinds of time.
たとえ,,simile; metaphor; allegory,N3,我々は人生を旅にたとえる。,We often compare life to a journey.
たびたび,,often; repeatedly; frequently,N3,私はたびたび彼を訪ねます。,I often call on him.
たまらない,,intolerable; unbearable; unendurable,N3,痛くてたまらない。,I can't bear the pain.
ダンス,,dance,N3,ダンスを学びたい。,I want to learn to dance.
チーズ,,cheese,N3,はい、チーズ。,Say cheese.
チーム,,team,N3,何人チームですか？,How many people are in your team?
チャンス,,chance; opportunity,N3,最後のチャンス！,Last call!
ちゃんと,,perfectly; properly; exactly,N3,ちゃんとやって。,Do it right.
ちょうだい,,(1) please do for me (preceded by -te); (2) reception; being given; get,N3,飴ちょうだい。,I want some candy.
つまり,,in short; in brief; in other words,N3,つまりどういうこと？,What does that mean?
で,,outflow; coming (going) out; graduate (of),N3,何時ですか。,What time do you have?
デート,,date; go on a date,N3,デートしませんか？,Will you go on a date with me?
できる,（可能。出現。発生）,to be able to; to be ready; to occur,N3,それできる？,Can you do that?
ですから,,therefore,N3,法律ですから。,It's the law.
では,では,chance of going out; opportunity (to succeed); moment of departure; beginning of work,N3,では誰ですか。,Then who?
デモ,,(abbr) demo; demonstration,N3,デモクラシーとは？,What's democracy?
でも,でも,but; however,N3,何でもない。,Never mind!
テント,,tent,N3,ここにテントを張ろう。,Let's put up our tent here.
どう,（接。副）,child; servant; foolishness,N3,是非どうぞ。,By all means.
どうか,,copper coin,N3,商売はどうかね。,How's business?
どうしても,,by all means; at any cost; no matter what,N3,どうしても欲しいんだ。,I really do want that.
どこか,,somewhere; anywhere,N3,どこか痛いの？,Does it hurt anywhere?
ところが,,however; while; even if,N3,高いところが怖いの？,Are you afraid of heights?
ところで,,by the way; even if; no matter what,N3,登校するところです。,I am going to school.
トップ,,top,N3,ストップって言ってね。,Say when.
とにかく,,anyhow; at any rate; anyway; somehow or other; generally speaking; in any case,N3,とにかく急げ。,Just hurry up.
ドライブ,,drive; trip by car; driving,N3,ドライブとかどう？,What do you say to going for a drive?
トラック,,(1) truck; (2) (running) track,N3,車がトラックに衝突した。,The car collided with a truck.
ドラマ,,drama,N3,韓国ドラマを見る？,Do you watch Korean dramas?
トランプ,,playing cards (lit: trump),N3,トランプは面白い。,Playing cards is fun.
どれ,どれ,well; now; let me see; which (of three or more),N3,私のはどれ？,Which is mine?
ドレス,,dress,N3,あのドレス大好き。,I love that dress.
とん,（1000,ton,N3,とんでもない！,No way!
とんでもない,,unexpected; offensive; What a thing to say!; No way!,N3,とんでもない！,No way!
どんな,,what; what kind of,N3,どんな方なの？,What is she like?
どんなに,,how; how much,N3,車があればどんなによいだろう。,How I wish I had a car.
トンネル,,tunnel,N3,山を通してトンネルを通した。,They drove a tunnel through the hill.
なお,,straight; mischief; ordinary; common,N3,余計なお節介だ。,Go about your business.
なかなか,,very; considerably; easily,N3,なかなかやるなあ。,It's pretty good.
なぜなら,,because,N3,なぜならそこにあるからさ。,Because it is there.
なにも,,nothing,N3,なにもかも準備ができた。,Everything is ready.
にっこり,,smile sweetly; smile; grin,N3,にっこり笑って。,Smile.
ね,（感）,value; price; cost; worth; merit,N3,連絡してね。,Keep in touch.
ノック,,(1) knock; (2) fungo (baseball),N3,誰かノックしてる？,Is someone knocking on the door?
のんびり,,carefree; at leisure,N3,のんびり行こう。,Take it easy.
パーセント,,percent,N3,米の値段が３パーセント上がった。,The price of rice rose by three percent.
はい,（感）,wear; put on (sword),N3,はいどうぞ。,Here it is.
バイオリン,,violin,N3,私はバイオリンを弾く。,I play the violin.
ハイキング,,hiking,N3,ハイキングは秋に限る。,Autumn is the best season for going on hikes.
パイプ,,(1) pipe; tube; (2) channels; official or otherwise,N3,床下にパイプを通す。,Run pipes under the floor.
パイロット,,pilot,N3,彼らはパイロットです。,They are pilots.
はさみ,,scissors,N3,はさみを取って下さい。,"Get me the scissors, please."
パス,,path; pass (in games),N3,ボール、パス！,Pass the ball!
パスポート,,passport,N3,パスポートは持った？,Do you have your passport?
バッグ,,bag; bug,N3,バッグが開いてるよ。,Your bag's open.
ばったり,,with a clash (thud); with a bang; plump; flop,N3,彼は横にばったり倒れた。,He fell flat on the floor.
バン,,bun; van (caravan); VAN (value-added network),N3,好きなバンドは？,What bands do you like?
ハンサム,,handsome,N3,彼はハンサムだ。,He's handsome.
ビール,,beer,N3,ビール飲む？,Do you want to drink some beer?
ピクニック,,picnic,N3,ピクニックに行かない？,How about going on a picnic?
びっくり,,be surprised; be amazed; be frightened; astonishment,N3,びっくりだ。,It's a surprise.
ぴったり,,exactly; neatly; sharp,N3,服がぴったり合っていた。,It was a perfect fit.
ビデオ,,video,N3,ビデオ見たい人いるの？,Who wants to watch a video?
ピン,,pin,N3,ピンとこないな。,That doesn't ring a bell.
ふと,（副）,suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally,N3,僕はふと足を止めた。,"Suddenly, my feet stopped."
プラス,,plus,N3,プラスチックは燃えにくい。,Plastic does not burn easily.
プラン,,plan,N3,週末のプランは？,What are you going to do over the weekend?
ブレーキ,,a brake,N3,ブレーキをかけろ！,Hit the brakes!
プロ,,professional,N3,ワープロを買いたい。,I want to buy a word processor.
ベルト,,Belt for western clothes,N3,シートベルトはした？,Did you fasten the seatbelt?
ペンキ,,(n) paint (nl: pek),N3,ペンキ塗りたて注意,Caution! Wet Paint
ベンチ,,bench,N3,ベンチに座った。,He seated himself on the bench.
ボーイ,,boy,N3,カウボーイごっこをしよう。,Let's make believe that we are cowboys.
ボート,,rowing boat,N3,ボートをくれないか。,Can you give me a boat?
ホーム,,(1) platform; (2) home,N3,ホームシックです。,I feel homesick.
ボール,,ball; bowl,N3,ボールは丸い。,Balls are round.
ほぼ,,almost; roughly; approximately,N3,ほぼ終わった。,I'm almost done.
ぼんやり,,absent-minded; block-head; dim; faint; vague,N3,彼女はぼんやり顔をしている。,She has an absent look on her face.
まあ,,(female) you might say,N3,まあ、本当？,"Oh no, really?"
マーケット,,market,N3,明日フリーマーケットに行こうよ！,Let's go to the flea market tomorrow.
マイク,,mike,N3,マイクは笑った。,Mike smiled.
まさか,,by no means,N3,まさか秘密か？,Is it a secret?
まさに,,correctly; surely,N3,まさに傑作だ。,This is a masterpiece.
マスター,,proprietor; manager; barowner; master (e.g. arts; science),N3,英語をマスターしたいな。,I'd like to master English.
ますます,,increasingly; more and more,N3,,
ママ,,Mama,N3,ママはどこ？,Where's my mama?
まるで,,quite; entirely; completely,N3,まるで眠れやしない。,I can't sleep at all!
ミス,,miss (mistake; error; failure); Miss,N3,ミスでした。,It was a mistake.
ミルク,,milk,N3,ミルクはいかが？,How about some milk?
メモ,,memorandum,N3,メモしてる？,Are you taking notes?
メンバー,,member,N3,トムはメンバーですか？,Is Tom a member?
もしも,,if,N3,もしもし。小川ですが。,Hello. This is Ogawa speaking.
やがて,,before long; soon; at length,N3,やがて静かになった。,Eventually it became quiet.
やはり,,also; as I thought; still; in spite of; absolutely; of course,N3,男の子はやはり男の子。,Boys will be boys.
やや,,a little; partially; somewhat; a short time; a while,N3,風がやや衰えた。,The wind abated a little.
ユーモア,,humor,N3,彼はユーモアがない。,He is devoid of humor.
ゆっくり,,slowly; at ease,N3,ゆっくり歩け。,Walk slowly.
よい,,good; nice; pleasant; ok,N3,気分がよい。,I'm feeling fine now.
ヨーロッパ,,Europe,N3,ヨーロッパは大陸です。,Europe is a continent.
ヨット,,yacht,N3,ヨットはブイを回った。,The yacht sailed around a buoy.
より,,twist; ply,N3,論より証拠。,The proof of the pudding is in the eating.
よると,,according to,N3,,
よろしく,（感）,well; properly; suitably; best regards; please remember me,N3,よろしくね！,It's nice to meet you!
ライター,,lighter; rider; writer,N3,ライター持ってる？,Have you got a lighter?
ラケット,,paddle; racket,N3,ラケットは借りれますか。,Can I rent rackets?
レポート,,report; paper,N3,彼はレポートを書いた。,He wrote the report.
ロケット,,locket; rocket,N3,ロケットで宇宙に行った。,I went to space on a rocket.
ワイン,,wine,N3,ワインです。,It's wine.
わがまま,,selfishness; egoism; wilfulness; disobedience; whim,N3,わがままね。,You're selfish.
わざと,,on purpose,N3,わざとやったのね！,You did this intentionally!
哀れ,あわれ,helpless; pity; sorrow; grief,N3,哀れに思う。,I feel sorry for him.
愛,あい,love,N3,愛してるよ。,I love you.
愛する,あいする,to love,N3,親は子を愛する。,Parents love their children.
愛情,あいじょう,love; affection,N3,愛情に燃える。,Burn with desire.
挨拶,あいさつ,greeting; salutation,N3,挨拶に困った。,I was at a loss for an answer.
悪口,わるくち,abuse; insult; slander; evil speaking,N3,人の悪口を言うな。,Don't speak ill of others.
悪魔,あくま,devil; demon; evil spirit,N3,彼女は小悪魔なんだ。,She's a little devil.
握る,にぎる,to grasp; to seize; to mould sushi,N3,それは、手に汗握る試合だった。,That was an exciting game.
握手,あくしゅ,handshake,N3,握手しようぜ！,Give me some skin!
扱う,あつかう,to handle; to deal with; to treat,N3,最高の品を扱う。,Deal in top of the line of goods.
或,ある,a certain...; some...,N3,君に或る物を見せましょう。,I'll show you something.
安定,あんてい,stability; equilibrium,N3,この歯が不安定です。,This tooth is wobbly.
暗記,あんき,memorization; learning by heart,N3,暗記しました。,I learned it by heart.
案,あん,plan; suffix meaning draft,N3,名案ですよ。,That's a good plan.
案内,あんない,information; guidance; leading,N3,ご案内します。,I'll guide you.
以前,いぜん,ago; since; before; previous,N3,彼は以前とは違う。,He is not what he used to be.
以来,いらい,since; henceforth,N3,以来ずっと友人です。,We've been friends ever since.
位,くらい,grade; rank; about,N3,王位を継ぐ。,I succeed to the throne.
位置,いち,place; situation; position; location,N3,彼の正位置はサードだ。,His normal position is third baseman.
依頼,いらい,(1) request; commission; dispatch; (2) dependence; trust,N3,彼女は私の依頼を断った。,She turned down my request.
偉大,いだい,greatness,N3,彼は偉大な小説家だ。,He is as great a novelist as ever lived.
囲む,かこむ,to surround; to encircle,N3,赤丸で囲む。,Circle in red pencil.
委員,いいん,committee member,N3,彼は委員会の委員だ。,He is a member of the committee.
意外,いがい,unexpected; surprising,N3,意外だねー。,You don't say.
意志,いし,will; volition,N3,彼は意志が弱い。,He doesn't have a mind of his own.
意思,いし,intention; purpose,N3,何も意思がない。,I have no real intent.
意識,いしき,consciousness; senses,N3,意識を失いました。,I lost consciousness.
椅子,いす,chair,N3,この椅子は軽い。,This chair is light.
為る,する,to change; to be of use; to reach to,N3,今日、東京はとても寒く為るでしょう。,"Today, Tokyo will get very cold."
異なる,ことなる,to differ; to vary; to disagree,N3,趣味は異なる。,Tastes differ.
異常,いじょう,strangeness; abnormality; disorder,N3,異常ありませんか。,Is everything all right?
移す,うつす,to remove; to transfer; to infect,N3,風邪を人に移すと治るって本当？,Is it true that you recover from colds when you give them to someone else?
移動,いどう,removal; migration; movement,N3,彼は机を右に移動させた。,He moved the desk to the right.
維持,いじ,maintenance; preservation,N3,この車の維持は高くつく。,It is expensive running this car.
胃,い,stomach,N3,胃が痛みます。,My stomach hurts.
衣服,いふく,clothes,N3,布に応じて衣服を裁て。,Cut your coat according to your cloth.
違い,ちがい,difference; discrepancy,N3,間違いない！,I'm absolutely sure!
違いない,ちがいない,(phrase) sure; no mistaking it; for certain,N3,間違いない！,I'm absolutely sure!
違反,いはん,violation (of law); transgression; infringement; breach,N3,ルール違反だぞ。,You're breaking the rules.
医師,いし,doctor; physician,N3,私は医師です。,I'm a doctor.
医療,いりょう,medical care; medical treatment,N3,医療保険は使えますか。,Can I use my medical insurance?
育つ,そだつ,to raise (child); to be brought up; to grow (up),N3,植物は土壌で育つ。,Plants are nourished by earth.
一家,いっか,a house; a home; a family; a household,N3,来週一家族越してくる。,Next week a family will move in.
一言,ひとこと,single word,N3,一言言いたい。,Let me say.
一時,いちじ,moment; time,N3,もう十一時よ。,It's already 11.
一種,いっしゅ,a species; a kind; a variety,N3,老化現象の一種です。,This is a condition caused by aging.
一瞬,いっしゅん,a moment; an instant,N3,一瞬目を閉じた。,I closed my eyes for a moment.
一人一人,ひとりひとり,one by one; each; one at a time,N3,選手一人一人が最善を尽くした。,Every player did his best.
一生,いっしょう,whole life; a lifetime; all through life,N3,一生懸命働いた。,He worked hard.
一層,いっそう,much more; still more; all the more,N3,彼は事態を一層悪くした。,He added insult to injury.
一体,いったい,(1) one object; one body; (2) what on earth?; really?; (3) generally,N3,一体誰かしら？,Who ever can it be?
一致,いっち,(1) coincidence; agreement; (2) conformity,N3,両極端は一致する。,Extremes meet.
一度に,いちどに,all at once,N3,一度に一事をせよ。,Do one thing at a time.
一般,いっぱん,general; liberal; universal; ordinary; average,N3,一般常識よ。,It's common knowledge.
一番,いちばん,best; first; number one,N3,一番乗りだ。,We are the first to arrive.
一方,いっぽう,(1) on the other hand; (2) meanwhile; (3) only; simple; in turn,N3,物価は上がる一方だ。,Prices go on rising.
稲,いね,rice-plant,N3,稲妻が光った。,The lightning flashed.
印,しるし,(1) mark; (2) symbol; (3) evidence,N3,沈黙は承諾の印。,Silence gives consent.
印刷,いんさつ,printing,N3,すぐ印刷します。,I'll print it quickly.
印象,いんしょう,impression,N3,第一印象は大切だ。,First impressions matter.
引っ張る,ひっぱる,(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball),N3,引っ張るぞ。,We're going to pull it.
引退,いんたい,retire,N3,引退しました。,I've retired.
引用,いんよう,quotation; citation,N3,引用元はどこですか？,Where is that quote from?
陰,かげ,shade; shadow; other side,N3,光陰矢の如し。,Time flies like an arrow.
隠す,かくす,to hide; to conceal,N3,能ある鷹は爪を隠す。,A smart falcon hides its talons.
隠れる,かくれる,to hide; to be hidden; to conceal oneself; to disappear,N3,スタジオはとても狭くて、隠れる場所はない。,"The studio is very small, with no place to hide."
宇宙,うちゅう,universe; cosmos; space,N3,宇宙は無限だ。,The universe is endless.
羽,はね,counter for birds; counter for rabbits,N3,何百羽とキジを撃った。,We shot pheasants by the hundred.
嘘,うそ,lie; falsehood; incorrect fact; inappropriate,N3,それ嘘だよ。,It's not true.
噂,うわさ,rumour; report; gossip; common talk,N3,人の噂も７５日。,It will be a nine-day's wonder.
運,うん,fortune; luck,N3,運がいいね。,It's a godsend.
運転,うんてん,operation; motion; driving,N3,運転できるよ。,I can drive.
運動,うんどう,motion; exercise,N3,運動します。,I work out.
餌,えさ,feed; bait,N3,鳥に餌をやれ！,Feed the bird!
営業,えいぎょう,business; trade; management,N3,私は営業部です。,I am a member of the sales department.
影,かげ,shade; shadow; other side,N3,写真撮影禁止。,Photography is prohibited.
影響,えいきょう,influence; effect,N3,喫煙は健康に影響する。,Smoking affects our health.
栄養,えいよう,nutrition; nourishment,N3,安いけど栄養豊富です。,It's inexpensive but very nutritious.
永遠,えいえん,eternity; perpetuity; immortality; permanence,N3,君を永遠に愛します。,I'll love you forever.
永久,えいきゅう,eternity; perpetuity; immortality,N3,彼は永久に日本を離れた。,He left Japan for good.
泳ぎ,およぎ,swimming,N3,泳ぎたいな。,I'd like to swim.
衛星,えいせい,satellite,N3,月は地球の衛星だ。,The moon is the Earth's satellite.
鋭い,するどい,pointed; sharp,N3,彼は耳が鋭い。,He has sharp hearing.
越える,こえる,to exceed; to cross over; to cross,N3,どうにか乗り越えるよ。,I'll get over it somehow.
越す,こす,to go over (e.g. with audience),N3,引っ越すの？,Are we moving?
円,えん,circle; money,N3,５０円です。,It's 50 yen.
延期,えんき,postponement; adjournment,N3,決定は延期された。,The decision was put off.
援助,えんじょ,assistance; aid; support,N3,ご援助を感謝します。,I appreciate your help.
演技,えんぎ,acting; performance,N3,演技はじめ！,Action!
演説,えんぜつ,speech; address,N3,彼は演説した。,He delivered a speech.
演奏,えんそう,musical performance,N3,演奏会がとても不安だ。,I'm all in a dither about the concert.
炎,ほのお,flame,N3,船が炎上した。,The ship went up in flames.
煙,けむり,smoke; fumes,N3,煙でむせた。,I was choked by smoke.
猿,さる,monkey,N3,猿は木に登る。,Monkeys climb trees.
縁,ふち,a means; e.g. of living,N3,縁は異なもの。,Marriages are made in heaven.
遠慮,えんりょ,diffidence; restraint; reserve,N3,遠慮しないで。,Don't hold back.
汚染,おせん,pollution; contamination,N3,汚染は抑えられます。,Pollution can be controlled.
奥,おく,interior; inner part,N3,奥さんはお元気？,How is the wife?
応じる,おうじる,to respond; to satisfy; to accept; to comply with; to apply for,N3,君が応じる必要はない。,You don't have to respond.
横切る,よこぎる,to cross (e.g. arms); to traverse,N3,道路を横切るな。,Don't cross the road.
横断,おうだん,crossing,N3,彼は道路を横断した。,He crossed the street.
王,おう,king; ruler; sovereign; monarch,N3,王位を継ぐ。,I succeed to the throne.
王子,おうじ,prince,N3,王子は森で道に迷った。,The prince was lost in the woods.
王様,おうさま,king,N3,王様は裸だ！,The king is naked!
沖,おき,open sea,N3,沖縄県民斯く戦えり。,Thus fought the Okinawan people.
屋根,やね,roof,N3,私の家の屋根は赤い。,The roof of my house is red.
恩,おん,favour; obligation; debt of gratitude,N3,恩に着るよ。,I owe you one.
温暖,おんだん,warmth,N3,この冬は温暖であった。,This winter has been mild.
温度,おんど,temperature,N3,温度が下がる。,The temperature falls.
穏やか,おだやか,calm; gentle; quiet,N3,海は穏やかだった。,The sea was calm.
音,おん,sound; note,N3,音楽は好き？,Are you fond of music?
下,げ,under; below; beneath,N3,来て下さい。,Please come.
下さる,くださる,(hon) to give; to confer,N3,約束を守って下さるわね。,"You will keep your word, won't you?"
下す,おろす,to lower; to let go down,N3,決定を下すのは彼の権限だ。,The decision belongs to him.
下り,くだり,down-train (going away from Tokyo),N3,幕が下りた。,The curtain fell.
化学,かがく,chemistry,N3,化学が嫌いだ。,I hate chemistry.
