character,level,strokes,grade,freq,onyomi,kunyomi,meanings
目,N4,5,1,76,モク; ボク,め; -め; ま-,eye; class; look; insight; experience; care; favor
通,N4,10,2,80,ツウ; ツ,とお.る; とお.り; -とお.り; -どお.り; とお.す; とお.し; -どお.し; かよ.う,"traffic; pass through; avenue; commute; counter for letters, notes, documents, etc."
言,N4,7,2,83,ゲン; ゴン,い.う; こと,say; word
理,N4,11,2,86,リ,ことわり,logic; arrangement; reason; justice; truth
体,N4,7,2,88,タイ; テイ,からだ; かたち,body; substance; object; reality; counter for images
田,N4,5,1,90,デン,た,rice field; rice paddy
主,N4,5,3,95,シュ; ス; シュウ,ぬし; おも; あるじ,lord; chief; master; main thing; principal
題,N4,18,3,96,ダイ,,topic; subject
意,N4,13,3,99,イ,,idea; mind; heart; taste; thought; desire; care; liking
不,N4,4,4,101,フ; ブ,,negative; non-; bad; ugly; clumsy
作,N4,7,2,103,サク; サ,つく.る; つく.り; -づく.り,make; production; prepare; build
用,N4,5,2,107,ヨウ,もち.いる,utilize; business; service; use; employ
度,N4,9,3,110,ド; ト; タク,たび; -た.い,degrees; occurrence; time; counter for occurrences; consider; attitude
強,N4,11,2,112,キョウ; ゴウ,つよ.い; つよ.まる; つよ.める; し.いる; こわ.い,strong
公,N4,4,2,118,コウ; ク,おおやけ,public; prince; official; governmental
持,N4,9,3,119,ジ,も.つ; -も.ち; も.てる,hold; have
野,N4,11,2,120,ヤ; ショ,の; の-,plains; field; rustic; civilian life
以,N4,5,4,126,イ,もっ.て,by means of; because; in view of; compared with
思,N4,9,2,132,シ,おも.う; おもえら.く; おぼ.す,think
家,N4,10,2,133,カ; ケ,いえ; や; うち,house; home; family; professional; expert; performer
世,N4,5,3,135,セイ; セ; ソウ,よ,generation; world; society; public
多,N4,6,2,139,タ,おお.い; まさ.に; まさ.る,many; frequent; much
正,N4,5,1,143,セイ; ショウ,ただ.しい; ただ.す; まさ; まさ.に,correct; justice; righteous; 10**40
安,N4,6,3,144,アン,やす.い; やす.まる; やす; やす.らか,relax; cheap; low; quiet; rested; contented; peaceful
院,N4,10,3,150,イン,,Inst.; institution; temple; mansion; school
心,N4,4,2,157,シン,こころ; -ごころ,heart; mind; spirit; heart radical (no. 61)
界,N4,9,3,158,カイ,,world; boundary
教,N4,11,2,166,キョウ,おし.える; おそ.わる,teach; faith; doctrine
文,N4,4,1,190,ブン; モン,ふみ; あや,sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)
元,N4,4,2,192,ゲン; ガン,もと,beginning; former time; origin
重,N4,9,3,193,ジュウ; チョウ,え; おも.い; おも.り; おも.なう; かさ.ねる; かさ.なる; おも,heavy; important; esteem; respect; heap up; pile up; nest of boxes; -fold
近,N4,7,2,194,キン; コン,ちか.い,near; early; akin; tantamount
考,N4,6,2,196,コウ,かんが.える; かんが.え,consider; think over
画,N4,8,2,199,ガ; カク; エ; カイ,えが.く; かく.する; かぎ.る; はかりごと; はか.る,brush-stroke; picture
海,N4,9,2,200,カイ,うみ,sea; ocean
売,N4,7,2,202,バイ,う.る; う.れる,sell
知,N4,8,2,205,チ,し.る; し.らせる,know; wisdom
道,N4,12,2,207,ドウ; トウ,みち; いう,road-way; street; district; journey; course; moral; teachings
集,N4,12,3,210,シュウ,あつ.まる; あつ.める; つど.う,gather; meet; congregate; swarm; flock
別,N4,7,4,214,ベツ,わか.れる; わ.ける,separate; branch off; diverge; fork; another; extra; specially
物,N4,8,3,215,ブツ; モツ,もの; もの-,thing; object; matter
使,N4,8,3,219,シ,つか.う; つか.い; -つか.い; -づか.い,use; send on a mission; order; messenger; envoy; ambassador; cause
品,N4,9,3,225,ヒン; ホン,しな,goods; refinement; dignity; article; counter for meal courses
計,N4,9,2,228,ケイ,はか.る; はか.らう,plot; plan; scheme; measure
死,N4,6,3,229,シ,し.ぬ; し.に-,death; die
特,N4,10,4,234,トク,,special
私,N4,7,6,242,シ,わたくし; わたし,private; I; me
始,N4,8,3,244,シ,はじ.める; -はじ.める; はじ.まる,commence; begin
朝,N4,12,2,248,チョウ,あさ,morning; dynasty; regime; epoch; period; (North) Korea
運,N4,12,3,255,ウン,はこ.ぶ,carry; luck; destiny; fate; lot; transport; progress; advance
終,N4,11,3,256,シュウ,お.わる; -お.わる; おわ.る; お.える; つい; つい.に,end; finish
台,N4,5,2,262,ダイ; タイ,うてな; われ; つかさ,pedestal; a stand; counter for machines and vehicles
広,N4,5,2,263,コウ,ひろ.い; ひろ.まる; ひろ.める; ひろ.がる; ひろ.げる,wide; broad; spacious
住,N4,7,3,270,ジュウ; ヂュウ; チュウ,す.む; す.まう; -ず.まい,dwell; reside; live; inhabit
真,N4,10,3,279,シン,ま; ま-; まこと,true; reality; Buddhist sect
有,N4,6,3,282,ユウ; ウ,あ.る,possess; have; exist; happen; occur; approx
口,N4,3,1,284,コウ; ク,くち,mouth
少,N4,4,2,287,ショウ,すく.ない; すこ.し,few; little
町,N4,7,1,292,チョウ,まち,town; village; block; street
料,N4,10,4,295,リョウ,,fee; materials
工,N4,3,2,299,コウ; ク; グ,,craft; construction; katakana e radical (no. 48)
建,N4,9,4,300,ケン; コン,た.てる; た.て; -だ.て; た.つ,build
空,N4,8,1,304,クウ,そら; あ.く; あ.き; あ.ける; から; す.く; す.かす; むな.しい,empty; sky; void; vacant; vacuum
急,N4,9,3,309,キュウ,いそ.ぐ; いそ.ぎ; せ.く,hurry; emergency; sudden; steep
止,N4,4,2,310,シ,と.まる; -ど.まり; と.める; -と.める; -ど.め; とど.める; とど.め; とど.まる; や.める; や.む; -や.む; よ.す; -さ.す; -さ.し,stop; halt
送,N4,9,3,311,ソウ,おく.る,escort; send
切,N4,4,2,324,セツ; サイ,き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ,cut; cutoff; be sharp
転,N4,11,3,327,テン,ころ.がる; ころ.げる; ころ.がす; ころ.ぶ; まろ.ぶ; うたた; うつ.る; くる.めく,revolve; turn around; change
研,N4,9,3,336,ケン,と.ぐ,polish; study of; sharpen
足,N4,7,1,343,ソク,あし; た.りる; た.る; た.す,leg; foot; be sufficient; counter for pairs of footwear
究,N4,7,3,368,キュウ; ク,きわ.める,research; study
楽,N4,13,2,373,ガク; ラク; ゴウ,たの.しい; たの.しむ; この.む,music; comfort; ease
起,N4,10,3,374,キ,お.きる; お.こる; お.こす; おこ.す; た.つ,rouse; wake up; get up
着,N4,12,3,376,チャク; ジャク,き.る; き.せる; つ.く; つ.ける,don; arrive; wear; counter for suits of clothing
店,N4,8,2,378,テン,みせ; たな,store; shop
病,N4,10,3,384,ビョウ; ヘイ,や.む; -や.み; やまい,ill; sick
質,N4,15,5,389,シツ; シチ; チ,たち; ただ.す; もと; わりふ,substance; quality; matter; temperament
待,N4,9,3,391,タイ,ま.つ; -ま.ち,wait; depend on
試,N4,13,4,392,シ,こころ.みる; ため.す,test; try; attempt; experiment; ordeal
族,N4,11,3,393,ゾク,,tribe; family
銀,N4,14,3,395,ギン,しろがね,silver
早,N4,6,1,402,ソウ; サッ,はや.い; はや; はや-; はや.まる; はや.める; さ-,early; fast
映,N4,9,6,404,エイ,うつ.る; うつ.す; は.える; -ば.え,reflect; reflection; projection
親,N4,16,2,406,シン,おや; おや-; した.しい; した.しむ,parent; intimacy; relative; familiarity; dealer (cards)
験,N4,18,4,410,ケン; ゲン,あかし; しるし; ため.す; ためし,verification; effect; testing
英,N4,8,4,430,エイ,はなぶさ,England; English; hero; outstanding; calyx
医,N4,7,3,437,イ,い.やす; い.する; くすし,doctor; medicine
仕,N4,5,3,439,シ; ジ,つか.える,attend; doing; official; serve
去,N4,5,3,440,キョ; コ,さ.る; -さ.る,gone; past; quit; leave; elapse; eliminate; divorce
味,N4,8,3,442,ミ,あじ; あじ.わう,flavor; taste
写,N4,5,3,453,シャ; ジャ,うつ.す; うつ.る; うつ-; うつ.し,copy; be photographed; describe
字,N4,6,1,485,ジ,あざ; あざな; -な,character; letter; word; section of village
答,N4,12,2,486,トウ,こた.える; こた.え,solution; answer
夜,N4,8,2,487,ヤ,よ; よる,night; evening
音,N4,9,1,491,オン; イン; -ノン,おと; ね,sound; noise
注,N4,8,3,497,チュウ,そそ.ぐ; さ.す; つ.ぐ,pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate
帰,N4,10,2,504,キ,かえ.る; かえ.す; おく.る; とつ.ぐ,homecoming; arrive at; lead to; result in
古,N4,5,2,509,コ,ふる.い; ふる-; -ふる.す,old
歌,N4,14,2,519,カ,うた; うた.う,song; sing
買,N4,12,2,520,バイ,か.う,buy
悪,N4,11,3,530,アク; オ,わる.い; わる-; あ.し; にく.い; -にく.い; ああ; いずくに; いずくんぞ; にく.む,bad; vice; rascal; false; evil; wrong
図,N4,7,2,539,ズ; ト,え; はか.る,map; drawing; plan; extraordinary; audacious
週,N4,11,2,540,シュウ,,week
室,N4,9,2,550,シツ,むろ,room; apartment; chamber; greenhouse; cellar
歩,N4,8,2,554,ホ; ブ; フ,ある.く; あゆ.む,walk; counter for steps
風,N4,9,2,558,フウ; フ,かぜ; かざ-,wind; air; style; manner
紙,N4,10,2,559,シ,かみ,paper
黒,N4,11,2,573,コク,くろ; くろ.ずむ; くろ.い,black
花,N4,7,1,578,カ; ケ,はな,flower
春,N4,9,2,579,シュン,はる,springtime; spring (season)
赤,N4,7,1,584,セキ; シャク,あか; あか-; あか.い; あか.らむ; あか.らめる,red
青,N4,8,1,589,セイ; ショウ,あお; あお-; あお.い,blue; green
館,N4,16,3,613,カン,やかた; たて,building; mansion; large building; palace
屋,N4,9,3,616,オク,や,roof; house; shop; dealer; seller
色,N4,6,2,621,ショク; シキ,いろ,color
走,N4,7,2,626,ソウ,はし.る,run
秋,N4,9,2,635,シュウ,あき; とき,autumn
夏,N4,10,2,659,カ; ガ; ゲ,なつ,summer
習,N4,11,3,706,シュウ; ジュ,なら.う; なら.い,learn
駅,N4,14,3,724,エキ,,station
洋,N4,9,3,763,ヨウ,,ocean; sea; foreign; Western style
旅,N4,10,3,783,リョ,たび,trip; travel
服,N4,8,3,873,フク,,clothing; admit; obey; discharge
夕,N4,3,1,924,セキ,ゆう,evening
借,N4,10,4,932,シャク,か.りる,borrow; rent
曜,N4,18,2,940,ヨウ,,weekday
飲,N4,12,3,969,イン; オン,の.む; -の.み,drink; smoke; take
肉,N4,6,2,986,ニク,しし,meat
貸,N4,12,5,995,タイ,か.す; か.し-; かし-,lend
堂,N4,11,5,1010,ドウ,,public chamber; hall
鳥,N4,11,2,1043,チョウ,とり,bird; chicken
飯,N4,12,4,1046,ハン,めし,meal; boiled rice
勉,N4,10,3,1066,ベン,つと.める,exertion; endeavour; encourage; strive; make effort; diligent
冬,N4,5,2,1090,トウ,ふゆ,winter
昼,N4,9,2,1115,チュウ,ひる,daytime; noon
茶,N4,9,2,1116,チャ; サ,,tea
弟,N4,7,2,1161,テイ; ダイ; デ,おとうと,younger brother; faithful service to elders
牛,N4,4,2,1202,ギュウ,うし,cow
魚,N4,11,2,1208,ギョ,うお; さかな; -ざかな,fish
兄,N4,5,2,1219,ケイ; キョウ,あに,elder brother; big brother
犬,N4,4,1,1326,ケン,いぬ; いぬ-,dog
妹,N4,8,2,1446,マイ,いもうと,younger sister
姉,N4,8,2,1473,シ,あね; はは,elder sister
漢,N4,13,3,1487,カン,,Sino-; China
