"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"Noun の 間に (〜no aida ni)","Expresses 'while' or 'during' a specific period or time.","Noun + の間に","昼休みの間に銀行に行きます。","Hiruyasumi no aida ni ginkou ni ikimasu.","I will go to the bank during lunch break.","JLPT N4"
"Noun ばかり (〜bakari)","Expresses 'only', 'nothing but', 'always', or 'just'","Noun + ばかり, Verb-casual + ばかり, い-Adjective + ばかり, な-Adjective + だ ばかり","彼はお金ばかり話す。","Kare wa okane bakari hanasu.","He talks about nothing but money.","JLPT N4"
"Noun を あげる (Noun wo ageru)","To give something to someone; 'give', 'offer', 'present'.","Noun + を + あげる","プレゼントをあげる。","Purezento wo ageru.","I give a present.","JLPT N4"
"Nounをいただく (Noun wo itadaku)","To receive or accept something politely; 'to receive', 'to get', 'to accept'.","Noun + を + いただく","プレゼントをいただきありがとうございます。","Purezento wo itadaki arigatou gozaimasu.","Thank you for the gift that I received.","JLPT N4"
"Nounをくださる","Used to express someone doing something as a favor or for the benefit of the speaker.","Noun + を + くださる","先生が資料をくださった。","Sensei ga shiryou wo kudasatta.","The teacher gave me the materials.","JLPT N4"
"Noun を くれる (Noun wo kureru)","Expresses that someone gives a thing to the speaker or someone close to the speaker.","Giver + が + Receiver + に + Noun + を + くれる","友達が私にプレゼントをくれました。","Tomodachi ga watashi ni purezento wo kuremashita.","My friend gave me a present.","JLPT N4"
"Noun を さしあげる (Noun wo sashiageru)","A polite way of expressing to give something.","Noun + を + さしあげる","先生に本をさしあげます。","Sensei ni hon wo sashiagemasu.","I will give a book to the teacher.","JLPT N4"
"Noun もらう (Noun wo morau)","To receive or get something from someone; 'to receive', 'to get'.","Noun + を + もらう","友達からプレゼントをもらいました。","Tomodachi kara purezento wo moraimashita.","I received a gift from my friend.","JLPT N4"
"Noun + 中 (Noun + ちゅう)","Express 'in the middle of', 'during', or 'in the process of'.","Noun + 中 (ちゅう)","彼は仕事中です。","Kare wa shigotochuu desu.","He is in the middle of work.","JLPT N4"
"Verb させられる (Verb-saserareru)","Express the passive causative form; 'to be made to', 'to be forced to'.","Group 1 Verb: Replace ～う with ～わせられる, Group 2 Verb: Replace ～る with ～させられる, Group 3 Verb: する → させられる, くる → こさせられる","子供たちは先生に宿題をやらせられました。","Kodomo-tachi wa sensei ni shukudai wo yaraseraremashita.","The children were made to do their homework by the teacher.","JLPT N4"
"Verb させる (Verb-saseru)","Expresses 'to make someone do something', 'to let someone do something', or 'to cause someone to do something'.","Group 1 Verbs: Change the last hiragana to ～せる, Group 2 Verbs: Remove ～る and add ～させる, Group 3 Verbs: する → させる, くる → こさせる","先生が生徒に宿題をさせました。","Sensei ga seito ni shukudai o sasemashita.","The teacher made the students do homework.","JLPT N4"
"Verb た ことがある (Verb ta koto ga aru)","Expresses the experience of having done something in the past.","Verb-た-form + ことがある","日本に行ったことがあります。","Nihon ni itta koto ga arimasu.","I have been to Japan before.","JLPT N4"
"Verb た ときに (Verb た ときに)","Express an action or event that occurred at a specific time in the past; 'when', 'at the time'.","Verb-た + ときに","映画を見たときに、泣きました。","Eiga wo mita toki ni, nakimashita.","When I watched the movie, I cried.","JLPT N4"
"Verb た ところ (Verb ta tokoro)","Expresses the situation right after an action has taken place.","Verb (た form) + ところ","ドアを開けたところ、猫が飛び出してきた。","Doa wo aketa tokoro, neko ga tobidashite kita.","When I opened the door, a cat came jumping out.","JLPT N4"
"Verb たほうがいい (〜ta hou ga ii)","Used to give advice or make a suggestion to someone - 'it's better if...'","Verb (past tense) + ほうがいい","早く寝たほうがいい。","Hayaku neta hou ga ii.","It's better if you go to bed early.","JLPT N4"
"Verb ために (tame ni)","Used to describe the purpose or reason for an action; 'for the sake of', 'in order to', 'because of'.","Verb-ます stem + ために, い-Adjective + ために, な-Adjective + なために, Noun + のために","試験に合格するために、毎日勉強しています。","Shiken ni goukaku suru tame ni, mainichi benkyou shiteimasu.","I study every day in order to pass the exam.","JLPT N4"
"Verb つもり (〜tsumori)","Express the intention, plan, or determination to do something; 'I intend to', 'I plan to', 'I'm determined to'.","Verb-casual + つもり","明日、友達に会うつもりです。","Ashita, tomodachi ni au tsumori desu.","I plan to meet my friend tomorrow.","JLPT N4"
"Verb てあげる (Verb te ageru)","Used to express doing something for someone; 'do something for someone'.","Verb-て form + あげる","友達が疲れていたから、荷物を持ってあげた。","Tomodachi ga tsukareteita kara, nimotsu wo motte ageta.","Since my friend was tired, I carried their luggage for them.","JLPT N4"
"Verb て ある (Verb-te aru)","Indicates that an action has been done and its result is still in effect.","Verb-て form + ある","窓が開けてある。","Mado ga akete aru.","The window has been opened (and remains open).","JLPT N4"
"Verb て いく (Verb-te iku)","Expresses an action that continues on into the future or a change that progresses over time.","Verb in て-form + いく","このまま練習を続けていくと、上達するでしょう。","Kono mama renshuu o tsuzukete iku to, joutatsu suru deshou.","If you keep practicing like this, you will improve.","JLPT N4"
"Verb ていただきたい (te itadakitai)","Express a polite request or desire that someone does something for you.","Verb-て form + いただきたい","資料をコピーしていただきたいです。","Shiryou wo kopii shite itadakitai desu.","I would like you to make copies of the documents.","JLPT N4"
"Verb ていただく (〜te itadaku)","Used to express receiving someone's favor or help; 'to kindly do'.","Verb-て form + いただく","メールを送っていただいて、ありがとうございます。","Meeru o okutte itadaite, arigatou gozaimasu.","Thank you for kindly sending the email.","JLPT N4"
"Verb て いただけませんか (Verb te itadakemasen ka)","A polite request; 'Could you please...', 'Would you mind...'","Verb-て form + いただけませんか","この手紙を投函していただけませんか。","Kono tegami wo toukan shite itadakemasen ka.","Could you please mail this letter for me?","JLPT N4"
"Verb て いる (Verb-te iru)","Expresses an ongoing action or a state resulting from a past action.","Verb (て-form) + いる","今、本を読んでいます。","Ima, hon wo yonde imasu.","I am reading a book now.","JLPT N4"
"Verb て いる ところ (Verb te iru tokoro)","Describes an action that is currently happening; 'in the middle of', 'in the process of'.","Verb-て form + いる ところ","彼は宿題をしているところです。","Kare wa shukudai wo shite iru tokoro desu.","He is in the middle of doing his homework.","JLPT N4"
"Verb ている間に (te iru aida ni)","Expresses 'while' or 'during the time' something is happening.","Verb-て form + いる + 間に","映画を見ている間に、彼は寝てしまった。","Eiga o mite iru aida ni, kare wa nete shimatta.","While watching the movie, he fell asleep.","JLPT N4"
"Verb ておく (〜te oku)","Perform an action in preparation for a future situation; 'to do something in advance'.","Verb-て form + おく","駅で切符を買っておこう。","Eki de kippu wo katte okou.","Let's buy the tickets in advance at the station.","JLPT N4"
"Verb て くださいませんか (Verb-te kudasaimasen ka)","Polite request for asking someone for a favor.","Verb in て-form + くださいませんか","コーヒーを飲んでくださいませんか。","Koohii o nonde kudasaimasen ka.","Would you please drink some coffee?","JLPT N4"
"Verb て くださる (Verb-te kudasaru)","Expresses gratitude for receiving someone's favor; 'to kindly do'.","Verb て-form + くださる","先生が手伝ってくださる。","Sensei ga tetsudatte kudasaru.","The teacher kindly helps.","JLPT N4"
"Verb て くる (Verb te kuru)","An action that starts in the past and continues to the present or future; 'come to', 'begin to', 'become'.","Verb て-form + くる","最近、日本語が分かってくるようになりました。","Saikin, nihongo ga wakatte kuru you ni narimashita.","Recently, I've come to understand Japanese.","JLPT N4"
"Verb てくれませんか (〜te kuremasen ka)","A polite way to request someone to do something for you; 'Could you please', 'Would you please', 'Won't you'.","Verb-て form + くれませんか","ドアを開けてくれませんか。","Doa wo akete kuremasen ka.","Could you please open the door?","JLPT N4"
"Verb て くれる (Verb-te kureru)","Expresses that someone does something for the speaker (or another person in speaker's group); 'to do something for me/us'.","Verb-te form + くれる","友達が宿題を手伝ってくれました。","Tomodachi ga shukudai wo tetsudatte kuremashita.","My friend helped me with my homework.","JLPT N4"
"Verb て + さしあげる (Verb TE sashiageru)","A polite way to express giving or doing something for someone.","Verb-てform + さしあげる","お茶を入れてさしあげます。","Ocha wo irete sashiagemasu.","I will prepare and serve tea (for you).","JLPT N4"
"Verb てしまう (〜te shimau)","Expresses unintentional actions or actions with regrettable outcomes; 'to end up doing', 'to accidentally do'.","Verb-te form + しまう","ケーキを全部食べてしまった。","Keeki wo zenbu tabete shimatta.","I ended up eating the whole cake.","JLPT N4"
"Verb て ほしい (Verb-te hoshii)","Express a desire for someone else to do something; 'I want (someone) to'.","Verb-て form + ほしい","子供にもっと勉強してほしい。","Kodomo ni motto benkyou shite hoshii.","I want my child to study more.","JLPT N4"
"Verb てみる (〜te miru)","Used to express 'try to' or 'attempt to do'","Verb-て form + みる","この料理を作ってみます。","Kono ryouri o tsukutte mimasu.","I will try to make this dish.","JLPT N4"
"Verb てもらいたい (～te moraitai)","Express a desire to receive a favor or service from someone else.","Verb-て-form + もらいたい","この荷物を運んでもらいたいです。","Kono nimotsu o undonde moraitai desu.","I want you to carry this luggage for me.","JLPT N4"
"Verb て もらう (Verb-te morau)","Express receiving a favor or action from someone.","Verb-て form + もらう","友達に宿題を手伝ってもらった。","Tomodachi ni shukudai o tetsudatte moratta.","I had my friend help me with my homework.","JLPT N4"
"Verb てもらえませんか (～te moraemasen ka)","A polite way to ask for a favor or request someone to do something.","Verb-て form + もらえませんか","この手紙を見てもらえませんか。","Kono tegami o mite moraemasen ka?","Could you take a look at this letter for me?","JLPT N4"
"Verb ない ことがある (Verb-nai koto ga aru)","Expresses that something doesn't always happen or there are occasions when it doesn't happen.","Verb-negative form + ことがある","彼は会議に出席しないことがある。","Kare wa kaigi ni shusseki shinai koto ga aru.","There are times when he doesn't attend meetings.","JLPT N4"
"Verb ない + ことにする (Verb nai koto ni suru)","To decide not to do something.","Verb-ない form + ことにする","明日のパーティーに行かないことにする。","Ashita no paatii ni ikanai koto ni suru.","I've decided not to go to tomorrow's party.","JLPT N4"
"Verb ない ことになる (Verb nai koto ni naru)","Expresses a result; 'end up not', 'it will become that', 'it would mean that'.","Verb-negative (ない) + ことになる","今日彼が来ないことになると、私たちの予定はキャンセルされます。","Kyou kare ga konai koto ni naru to, watashitachi no yotei wa kyanseru saremasu.","If he doesn't come today, our plans will be canceled.","JLPT N4"
"Verb ないほうがいい (Verb nai hou ga ii)","Expresses the idea that it is better not to do something.","Verb-negative form + ほうがいい","この薬は飲まないほうがいいです。","Kono kusuri wa nomanai hou ga ii desu.","It's better not to take this medicine.","JLPT N4"
"Verb ながら (〜nagara)","Expresses 'while' or 'as' in the sense of doing two things simultaneously.","Verb-masu stem + ながら","テレビを見ながら宿題をしました。","Terebi wo minagara shukudai wo shimashita.","I did my homework while watching television.","JLPT N4"
"Verb なさい (〜nasai)","A command form used to give orders or instructions; 'Please do', 'Do this'.","Verb-stem + なさい","部屋を掃除しなさい。","Heya wo souji shinasai.","Clean your room.","JLPT N4"
"Verb にくい (〜nikui)","Express difficulty or complexity; 'hard to', 'difficult to', 'not easily'.","Verb-stem + にくい","この字は読みにくいです。","Kono ji wa yomi nikui desu.","This character is hard to read.","JLPT N4"
"Verb やすい (〜yasui)","Indicates that something is easy to do; 'easy to', 'easy for'.","Verb-stem + やすい","この本は読みやすいです。","Kono hon wa yomiyasui desu.","This book is easy to read.","JLPT N4"
"Verb ようと思う (Verb-you to omou)","Express intention or plan to do something; 'I think I will', 'I plan to', 'I intend to'.","Verb-volitional + と思う","明日、映画を見るようと思います。","Ashita, eiga wo miru you to omoimasu.","I think I will watch a movie tomorrow.","JLPT N4"
"Verb ように (〜you ni)","Used to express 'like', 'as if', 'in order to', or 'so that'.","Verb-ますstem + ように, い-adjective + ように","彼女は鳥のように軽やかに踊る。","Kanojo wa tori no you ni karoyaka ni odoru.","She dances lightly like a bird.","JLPT N4"
"Verb ようにする (Verb ~you ni suru)","Make an effort to; try to; see to it that; ensure that.","Verb-dictionary form + ようにする","毎日運動するようにしています。","Mainichi undou suru you ni shiteimasu.","I try to exercise every day.","JLPT N4"
"Verb ようになる (〜you ni naru)","Express a change in ability, situation or state; 'become able to', 'come to', 'begin to'.","Verb-ます（drop ます） + ようになる","日本語が話せるようになりました。","Nihongo ga hanaseru you ni narimashita.","I have become able to speak Japanese.","JLPT N4"
"Verb ように言う (Verb-you ni iu)","Tell someone to do something; 'tell to do', 'instruct to do'.","Verb-casual + ように言う","先生は私たちに宿題をやるように言いました。","Sensei wa watashitachi ni shukudai o yaru you ni iimashita.","The teacher told us to do our homework.","JLPT N4"
"Verb られる (〜rareru)","Expresses passive voice or potential form for verbs.","う-verb: Replace the final う with われる (or simply れる for potential form), る-verb: Replace る with られる, Irregular verbs: する → される, くる → こられる","彼は先生に褒められました。","Kare wa sensei ni homeraremashita.","He was praised by the teacher.","JLPT N4"
"Verb る ことがある (〜ru koto ga aru)","Used to express that something happens sometimes or has happened before.","Verb (in る form, remove る) + ることがある","彼は遅刻することがあります。","Kare wa chikoku suru koto ga arimasu.","He is sometimes late.","JLPT N4"
"Verb ることができる (〜ru koto ga dekiru)","Express ability or possibility of doing an action; 'can', 'be able to', 'is possible'.","Verb-る + ことができる","私は日本語を話すことができます。","Watashi wa nihongo wo hanasu koto ga dekimasu.","I can speak Japanese.","JLPT N4"
"Verb ることにする (〜ru koto ni suru)","Decide to do something, make a decision.","Verb-る + ことにする","来週、ジムに行くことにしました。","Raishuu, jimu ni iku koto ni shimashita.","I decided to go to the gym next week.","JLPT N4"
"Verb る ことになる (〜ru koto ni naru)","Indicates that something has been decided or arranged; 'it has been decided that', 'it turns out that'.","Verb-る + ことになる","今日は会議がなくなることになりました。","Kyou wa kaigi ga nakunaru koto ni narimashita.","It has been decided that there will be no meeting today.","JLPT N4"
"Verb るときに (〜ru toki ni)","Describes the time when a certain action takes place; 'when', 'at the time'.","Verb-る + ときに","映画を見るときに、ポップコーンを食べます。","Eiga wo miru toki ni, poppukoon wo tabemasu.","When I watch a movie, I eat popcorn.","JLPT N4"
"Verb る ところ (Verb-ru to koro)","Expresses the state or place where an action occurs or is in the process of happening.","Verb-dictionary form + るところ","彼は食べるところです。","Kare wa taberu tokoro desu.","He is in the process of eating.","JLPT N4"
"Verb 出す (~dasu)","Express the action of taking something out, starting an action, or emphasizing a verb.","Verb stem + 出す (~dasu)","本を棚から出してください。","Hono wo tana kara dashite kudasai.","Please take the book out from the shelf.","JLPT N4"
"Verb 方 (〜hou)","Indicates the way or method of doing something; 'how to', 'the way of'.","Verb-stem + 方","誰かがケーキの作り方を知っていますか？","Dareka ga keeki no tsukurihou o shitteimasu ka?","Does anyone know how to make a cake?","JLPT N4"
"Verb 終わる (〜owaru)","Verbal action is completed; 'to finish', 'to end'.","終わる (owaru) as a る-verb","映画が終わったら、家に帰ります。","Eiga ga owattara, ie ni kaerimasu.","When the movie finishes, I'll go home.","JLPT N4"
"Verb + 続ける (つづける, tsuzukeru)","To continue doing or to keep doing an action.","Verb-masu-stem + 続ける","彼は毎日ジムで運動を続けています。","Kare wa mainichi jimu de undou o tsuzuketeimasu.","He continues to exercise at the gym every day.","JLPT N4"
"～かしら (〜kashira)","Indicates uncertainty or doubt; 'I wonder', 'I'm not sure'.","Verb-casual + かしら, い-Adjective + かしら, な-Adjective + かしら, Noun + かしら","今日は雨が降るかしら？","Kyou wa ame ga furu kashira?","I wonder if it will rain today?","JLPT N4"
"～かどうか (〜ka dou ka)","Used to express 'whether' or 'if' in indirect questions or statements.","Verb-casual + かどうか, い-Adjective + かどうか, な-Adjective + (だ)かどうか, Noun + (だ)かどうか","彼が来るかどうか知りません。","Kare ga kuru ka dou ka shirimasen.","I don't know if he will come or not.","JLPT N4"
"～かなあ (〜kanaa)","Expresses uncertainty or wonder; 'I wonder', 'I'm not sure'.","Verb-casual + かなあ, い-Adjective + かなあ, な-Adjective + だ + かなあ, Noun + だ + かなあ","明日雨が降るかなあ。","Ashita ame ga furu kanaa.","I wonder if it will rain tomorrow.","JLPT N4"
"～かもしれない (〜kamoshirenai)","Express uncertainty; 'maybe', 'might', 'possibly'.","Verb-casual + かもしれない, い-Adjective + かもしれない, な-Adjective + だかもしれない, Noun + だかもしれない","明日雨が降るかもしれない。","Ashita ame ga furu kamoshirenai.","It might rain tomorrow.","JLPT N4"
"～から (〜kara)","Express a reason or cause; 'because', 'since', 'due to'.","Verb-casual + から, い-Adjective + から, な-Adjective + だから, Noun + だから","雨が降るから、傘を持って行ってください。","Ame ga furu kara, kasa wo motte itte kudasai.","Because it's raining, please bring an umbrella.","JLPT N4"
"～けれど (〜keredo)","Indicate a soft contrast or contradiction; 'but', 'however'.","Verb-casual + けれど, い-Adjective + けれど, な-Adjective + だけれど, Noun + だけれど","今日は忙しいけれど、明日はもっと時間がある。","Kyou wa isogashii keredo, ashita wa motto jikan ga aru.","I'm busy today, but I have more time tomorrow.","JLPT N4"
"～させてください (〜sasete kudasai)","Express a polite request to allow or permit someone to do something","Verb-causative form + ください","もう少し考えさせてください。","Mou sukoshi kangaesasete kudasai.","Please let me think a little more.","JLPT N4"
"～し、～し、～ (〜shi, 〜shi, 〜)","Express multiple reasons or characteristics; 'and', 'because', 'since'.","Verb-casual + し,い-Adjective + し,な-Adjective + だし, Noun + だし","彼は若いし、元気だし、フレンドリーだし、みんなと仲良くなれると思います。","Kare wa wakai shi, genki da shi, furendorī da shi, minna to nakayoku nareru to omoimasu.","He is young, energetic, friendly, and I think he can get along with everyone.","JLPT N4"
"～すぎる (〜sugiru)","Expresses that something is excessive or overdone; 'too much', 'too', 'over'.","Verb-stem + すぎる, い-Adjective (remove い) + すぎる, な-Adjective + すぎる","この部屋は暑すぎる。","Kono heya wa atsui sugiru.","This room is too hot.","JLPT N4"
"～ずつ (〜zutsu)","Indicates equal distribution; 'each', 'per', 'apiece'.","Noun + ずつ","りんごを2つずつ配ります。","Ringo wo futatsu zutsu kubarimasu.","I will distribute 2 apples each.","JLPT N4"
"～そうだ (〜sou da)","Express the appearance, seeming, or feeling of something; 'looks like', 'seems', 'appears'.","Verb-ますstem + そうだ, い-Adjective (without い) + そうだ, な-Adjective + そうだ","その花はとてもきれいそうだ。","Sono hana wa totemo kirei sou da.","That flower looks very beautiful.","JLPT N4"
"そんな (sonna) + Noun","Expresses 'that kind/type of'; referring to something near listener.","そんな + Noun","そんな話、信じられない。","Sonna hanashi, shinjirarenai.","I can't believe that kind of story.","JLPT N4"
"そんなに～ (sonna ni〜)","Expresses 'not so much', 'not that', or 'not so ~'.","そんなに + Verb-negation, そんなに + Adjective-negation","そんなに急がなくてもいいですよ。","Sonna ni isoganakutemo ii desu yo.","You don't have to hurry that much.","JLPT N4"
"～たらいい (〜tara ii)","Expressing a desire or suggestion for a particular outcome; 'it would be good if', 'should', 'I hope'.","Verb-casual-past + たらいい","もっと勉強したらいいですよ。","Motto benkyou shitara ii desu yo.","It would be good if you studied more.","JLPT N4"
"～たら いかがですか (〜tara ikaga desu ka)","Making polite suggestions; 'how about if', 'what if', 'it would be good if'.","Verb-casual, past + たら いかがですか, い-Adjective + かったら いかがですか, な-Adjective + だったら いかがですか, Noun + だったら いかがですか","図書館に行ったらいかがですか。","Toshokan ni ittara ikaga desu ka.","How about going to the library?","JLPT N4"
"～たら どうですか (〜tara doudesuka)","Express a suggestion or advice; 'what if', 'how about', 'why don't you'.","Verb-た form + ら どうですか","スキーに行ったらどうですか？","Sukii ni ittara doudesuka?","How about going skiing?","JLPT N4"
"～たり～たり (〜tari 〜tari)","Used to list multiple actions or states; 'doing things like', 'and so on', 'etc.'","Verb-ta + り + next verb-ta + り, い-Adjective + かったり + next verb-ta + り, な-Adjective + だったり + next verb-ta + り, Noun + だったり + next verb-ta + り","週末は映画を観たり、本を読んだりする。","Shuumatsu wa eiga wo mitari, hon wo yondari suru.","On weekends, I do things like watching movies and reading books.","JLPT N4"
"～だろう (〜darou)","Express probability, likelihood or certainty; 'probably', 'maybe', 'I think'.","Verb-casual + だろう, い-Adjective (drop い) + だろう, な-Adjective + だろう, Noun + だろう","明日は晴れるだろう。","Ashita wa hareru darou.","It will probably be sunny tomorrow.","JLPT N4"
"～っていう (〜tte iu)","Used to quote, define, or specify a noun.","Noun/Adjective/Verb + っていう + Noun","ピザっていう料理が大好きです。","Piza tte iu ryouri ga daisuki desu.","I love the dish called pizza.","JLPT N4"
"～で (〜de)","Indicates the means, method, or place.","Noun + ～で","私は自転車で学校に行きます。","Watashi wa jitensha de gakkou ni ikimasu.","I go to school by bicycle.","JLPT N4"
"～でしょう (〜deshou)","A conjecture or probability; 'probably', 'I think', 'it seems'.","Verb-ますstem + でしょう, い-Adjective + でしょう, な-Adjective + でしょう, Noun + でしょう","明日は晴れでしょう。","Ashita wa hare deshou.","It will probably be sunny tomorrow.","JLPT N4"
"～てはいけない (〜te wa ikenai)","Expresses prohibition; 'must not', 'cannot'.","Verb-て-form + はいけない","公園でたばこを吸ってはいけない。","Kouen de tabako o sutte wa ikenai.","You must not smoke in the park.","JLPT N4"
"～てもいい (〜temo ii)","To give or ask permission; 'it's okay to', 'may', 'can'.","Verb-て form + もいい","ここで写真を撮ってもいいですか。","Koko de shashin wo tottemo ii desu ka.","Is it okay to take a photo here?","JLPT N4"
"～ても/でも (〜te mo/demo)","Expresses 'even if' or 'even though'; used to convey contradiction or contrast.","Verb-て-form + も, い-Adjective (-い) + くても, な-Adjective + でも, Noun + でも","雨が降っても、学校に行きます。","Ame ga futte mo, gakkou ni ikimasu.","Even if it rains, I will go to school.","JLPT N4"
"～といい (〜to ii)","Express a wish or hope; 'I hope', 'it would be good if'.","Verb-casual + といい, い-Adjective + といい, な-Adjective + だといい, Noun + だといい","明日晴れるといいね。","Ashita hareru to ii ne.","I hope it will be sunny tomorrow.","JLPT N4"
"～という (〜to iu) Noun","Used to define or explain a noun more specifically.","Noun + という + Noun, な-Adjective + という + Noun, Adjectival Verb + という + Noun","彼は日本語が流暢なアメリカ人という人です。","Kare wa nihongo ga ryuuchou na amerikajin to iu hito desu.","He is a person called an American who speaks fluent Japanese.","JLPT N4"
"どういう Noun (dou iu Noun)","Asking for clarification or more information about a noun; 'what kind of', 'what sort of'.","どういう + Noun","どういう仕事をしていますか？","Dou iu shigoto wo shite imasu ka?","What kind of work do you do?","JLPT N4"
"～と思う (〜to omou)","Express one's thoughts or opinions; 'I think', 'I believe'.","Verb-casual + と思う, い-Adjective + と思う, な-Adjective + だと思う, Noun + だと思う","明日晴れると思います。","Ashita hareru to omoimasu.","I think it will be sunny tomorrow.","JLPT N4"
"～という (〜to iu)","Used to quote, express hearsay or define something.","Verb-casual + という, い-Adjective + という, な-Adjective + という, Noun + という","彼は「好きだ」と言った。","Kare wa 'suki da' to itta.","He said 'I like you'.","JLPT N4"
"～ないといけない (〜nai to ikenai)","Express a necessity; 'must', 'have to', 'need to'.","Verb-negative + といけない","明日試験があるから、今夜勉強しないといけない。","Ashita shiken ga aru kara, kon'ya benkyou shinai to ikenai.","I have an exam tomorrow, so I have to study tonight.","JLPT N4"
"～なきゃいけない (〜nakya ikenai)","Express a necessity or obligation; 'must', 'have to'.","Verb-casual (negative form without い) + なきゃいけない","明日までに宿題を終わらなきゃいけない。","Ashita made ni shukudai wo owaranakya ikenai.","I have to finish my homework by tomorrow.","JLPT N4"
"～なくちゃいけない (〜naku cha ikenai)","Express the obligation to do something; 'have to', 'must', 'need to'.","Verb-ない form (-ない ending is dropped) + なくちゃいけない","仕事に行かなくちゃいけないので、早起きしなければなりません。","Shigoto ni ikanakucha ikenai node, hayaoki shinakereba narimasen.","I have to go to work, so I must wake up early.","JLPT N4"
"～なくてはいけない (〜nakute wa ikenai)","Expresses the necessity or obligation; 'must', 'have to'.","Verb-negative form + なくてはいけない","宿題をしなくてはいけない。","Shukudai o shinakute wa ikenai.","I have to do my homework.","JLPT N4"
"～なくてもいい (〜nakutemo ii)","Expresses that something is not necessary to do; 'it's okay if not', 'don't have to'.","Verb-ない-form + てもいい","コーヒーは飲まなくてもいいです。","Koohii wa nomanakutemo ii desu.","You don't have to drink the coffee.","JLPT N4"
"～なければ ならない (〜nakereba naranai)","Express obligation or necessity; 'must', 'have to', 'need to'.","Verb-ない form + なければ ならない","宿題をやらなければならない。","Shukudai wo yaranakereba naranai.","I have to do my homework.","JLPT N4"
"～に (〜ni)","Indicates direction, destination, purpose, or time.","Noun + に","母は私にケーキを作りました。","Haha wa watashi ni keiki wo tsukurimashita.","My mother made a cake for me.","JLPT N4"
"～ので (〜node)","Express a reason or a cause for something; 'because', 'since', 'so'.","Verb-casual + ので, い-Adjective + ので, な-Adjective + なので, Noun + なので","明日試験があるので、今晩勉強します。","Ashita shiken ga aru node, konban benkyou shimasu.","I will study tonight because there is a test tomorrow.","JLPT N4"
"～のです (〜no desu)","Provides an explanation or gives background information; 'the fact is', 'the reason is', 'actually'.","Verb-casual + のです, い-Adjective + のです, な-Adjective + なのです, Noun + なのです","この本は難しいのです。","Kono hon wa muzukashii no desu.","This book is difficult, you see.","JLPT N4"
"～のに (〜no ni)","Used to express contrast between expectation and reality, or to indicate a purpose for doing something","Verb-casual + のに, い-Adjective + のに, な-Adjective + なのに, Noun + なのに","遅刻したのに、先生は怒らなかった。","Chikoku shita no ni, sensei wa okoranakatta.","Even though I was late, the teacher didn't get angry.","JLPT N4"
"～ばいい (〜ba ii)","Express a suggestion or advice; 'should', 'it would be good if'.","Verb-ば-form + いい, い-Adjective + ければいい, な-Adjective + であればいい, Noun + であればいい","もっと勉強すればいい。","Motto benkyou sureba ii.","You should study more.","JLPT N4"
