"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"～くせに (〜kuse ni)","Used to express criticism or disapproval; 'even though', 'despite', 'in spite of'.","Verb-casual + くせに, い-Adjective + くせに, な-Adjective + なくせに, Noun + のくせに","彼はお金持ちなのにケチなくせに。","Kare wa okanemochi nano ni kechi na kuse ni.","Even though he's rich, he's so stingy.","JLPT N3"
"～くらい (〜kurai)","Expresses an approximate quantity or degree; 'about', 'approximately', 'to the extent of'.","Verb-casual + くらい, い-Adjective + くらい, な-Adjective + くらい, Noun + くらい","１０分くらい待ちましょう。","Juppun kurai machimashou.","Let's wait for about 10 minutes.","JLPT N3"
"～くらい～は～ない (〜kurai 〜wa 〜nai)","Express the least one can do; 'at least', 'the least', 'no less than'.","Verb-casual (non-past) + くらい + は + Verb-casual (negative), Adjective (non-past) + くらい + は + Adjective (negative)","週に一度くらいはジムに行かないと。","Shuu ni ichido kurai wa jimu ni ikanai to.","I have to go to the gym at least once a week.","JLPT N3"
"～こそ (〜koso)","Emphasizes the importance or uniqueness of something or someone; 'precisely', 'exactly', 'it is...', 'of all...'.","Noun + こそ, な-Adjective + こそ, い-Adjective + こそ","今日こそ勉強しなければなりません。","Kyou koso benkyou shinakereba narimasen.","Today, of all days, I must study.","JLPT N3"
"～こと (〜koto)","Express an action in a nominal (noun-like) form or state fact or experience.","Verb-plain form + こと, Verb-phrase in plain form + こと","日本語を話すことができます。","Nihongo wo hanasu koto ga dekimasu.","I can speak Japanese.","JLPT N3"
"～ことだ (〜koto da)","Expresses an advice or recommendation; 'should', 'it is important', 'it is necessary'.","Verb-ますstem + ことだ, い-Adjective + ことだ,な-Adjective + なことだ, Noun + のことだ","毎日運動することだ。","Mainichi undou suru koto da.","You should exercise every day.","JLPT N3"
"～ことにしている (〜koto ni shite iru)","Express a personal rule or habit; 'I make it a rule to', 'I always make sure to'.","Verb-casual + ことにしている","毎日運動することにしている。","Mainichi undou suru koto ni shite iru.","I make it a rule to exercise every day.","JLPT N3"
"～ことになっている (〜koto ni natte iru)","Describes something that is decided, arranged, or expected.","Verb-dictionary form + ことになっている","この会社では、20時から仕事を終えることになっている。","Kono kaisha de wa, 20-ji kara shigoto o oeru koto ni natte iru.","In this company, it is decided that work will end from 8 pm.","JLPT N3"
"～ことは…が (～koto wa... ga)","Used to indicate that while something may be true or valid, there is still another contrasting point.","Verb-casual + ことは + が, い-Adjective + ことは + が, な-Adjective + だ + ことは + が, Noun + だ + ことは + が","この映画は面白いことは面白いが、ちょっと長すぎる。","Kono eiga wa omoshiroi koto wa omoshiroi ga, chotto naga-sugiru.","This movie may be interesting, but it is a bit too long.","JLPT N3"
"～ことはない (〜koto wa nai)","Expresses that something doesn't need to be done or there's no occasion to do it; 'don't have to', 'not necessary'.","Verb-dictionary form + ことはない, い-Adjective + ことはない, な-Adjective + であることはない, Noun + であることはない","毎日お金を使わなくても、貯金することはない。","Mainichi okane wo tsukawanakutemo, chokin suru koto wa nai.","You don't have to save money every day, even if you don't spend it.","JLPT N3"
"～さ～ (〜sa〜)","Express the degree or extent of a quality; '-ness', 'degree of'.","い-Adjective (drop い) + さ, な-Adjective + さ","この料理は辛さが強い。","Kono ryouri wa karasa ga tsuyoi.","The spiciness of this dish is strong.","JLPT N3"
"～さえ (～sae)","Emphasizes a specific item or action; 'even', 'if only', 'as long as'.","Noun + さえ, Verb-casual + さえ, い-Adjective + さえ, な-Adjective + ださえ","お金さえあれば、世界中を旅行できる。","Okane sae areba, sekaijuu wo ryokou dekiru.","If only I have money, I can travel around the world.","JLPT N3"
"～しかない (〜shika nai)","Express the idea of 'only', 'no other option but', 'nothing else but'.","Verb-casual + しかない, い-Adjective + しかない, な-Adjective + しかない, Noun + しかない","この問題を解決する方法は一つしかない。","Kono mondai wo kaiketsu suru houhou wa hitotsu shika nai.","There is only one way to solve this problem.","JLPT N3"
"すこしも〜ない (sukoshimo~nai)","Express a negative state or action; 'not at all', 'none whatsoever'.","すこしも + Verb-negative","彼はすこしも悲しそうに見えません。","Kare wa sukoshimo kanashisou ni miemasen.","He doesn't look sad at all.","JLPT N3"
"～ずに (〜zu ni)","Express 'without doing' something or 'not doing' something.","Verb-ない form (Remove ない) + ずに","彼は笑わずに話を聞いていました。","Kare wa warawazu ni hanashi wo kiiteimashita.","He was listening to the story without laughing.","JLPT N3"
"～せいで (〜sei de)","Indicates that something or someone caused an unfortunate result.","Verb-casual + せいで, い-Adjective + せいで, な-Adjective + なせいで, Noun + のせいで","雨のせいで試合が中止になりました。","Ame no sei de shiai ga chuushi ni narimashita.","The game was cancelled because of the rain.","JLPT N3"
"～せてください (〜sete kudasai)","Requesting someone to allow or let you do something.","Verb [te-form, replace て with せ] + ください","もう一度説明してください。","Mou ichido setsumei shite kudasai.","Please explain it once more.","JLPT N3"
"～そのために (〜sono tame ni)","For the purpose of; because of; in order to.","Phrase / Sentence 1 + そのために + Phrase / Sentence 2","試験に合格するために、毎日勉強しています。そのために、早く寝て早く起きるようにしています。","Shiken ni goukaku suru tame ni, mainichi benkyou shiteimasu. Sono tame ni, hayaku nete hayaku okiru you ni shiteimasu.","I study every day to pass the exam. For that reason, I try to go to bed early and wake up early.","JLPT N3"
"～その結果 (〜sono kekka)","Shows the result or consequence of a previous action or situation; 'as a result', 'in consequence'.","Situation/ACTION 1 + その結果 + RESULT","彼女は毎日練習した、その結果、試合に勝った。","Kanojo wa mainichi renshuu shita, sono kekka, shiai ni katta.","She practiced every day, as a result, she won the match.","JLPT N3"
"～それと～ (〜sore to〜)","Used to link two or more items; 'and' or 'also'.","Item1 + それと + Item2","買い物に行くつもりです。それと、郵便局にも行かなくては。","Kaimono ni iku tsumori desu. Sore to, yuubinkyoku ni mo ikanakute wa.","I plan to go shopping, and I also have to go to the post office.","JLPT N3"
"～？それとも～？ (～? sore tomo ～?)","Presents two alternatives or choices; 'or', 'either...or'.","Verb-casual + ？それとも + Verb-casual + ？, い-Adjective + ？それとも + い-Adjective + ？, な-Adjective + だ？それとも + な-Adjective + だ？, Noun + だ？それとも + Noun + だ？","コーヒーを飲む？それとも紅茶を飲む？","Kōhī o nomu? Sore tomo kōcha o nomu?","Do you want to drink coffee? Or tea?","JLPT N3"
"～だけしか (～dake shika)","Emphasizes the scarcity or insufficiency of something; 'only', 'nothing but'.","Quantity + だけ + しか + Negative Verb","今日は1時間だけしか勉強できなかった。","Kyou wa ichijikan dake shika benkyou dekinakatta.","Today, I could study for only one hour.","JLPT N3"
"だけど (dakedo)","Expresses a contrast or contradiction; 'but', 'however', 'even though'.","Verb-casual + だけど, い-Adjective + だけど, な-Adjective + だけど, Noun + だけど","試験に合格しただけど、まだ勉強しなければならない。","Shiken ni goukaku shita dakedo, mada benkyou shinakereba naranai.","I passed the exam, but I still have to study.","JLPT N3"
"～たて (～tate)","Indicates an action that has just been completed; 'freshly', 'just'.","Verb-stem + たて","このパンは焼きたてで、まだ温かいです。","Kono pan wa yakitate de, mada atatakai desu.","This bread is freshly baked and still warm.","JLPT N3"
"～たとえ～ても (〜tatoe〜temo)","Express a condition with 'even if'; 'no matter how'.","たとえ + Verb-casual + ても, たとえ + い-Adjective + くても, たとえ + な-Adjective + であっても, たとえ + Noun + であっても","たとえ雨が降っても、出かけましょう。","Tatoe ame ga futte mo, dekakemashou.","Even if it rains, let's go out.","JLPT N3"
"～たところ (〜ta tokoro)","Expresses the result or outcome of an action; 'after', 'just when', 'upon'.","Verb-た form + ところ","宿題をしたところで、先生からもう一つ課題が出された。","Shukudai wo shita tokoro de, sensei kara mou hitotsu kadai ga dasareta.","Just when I finished my homework, the teacher gave us another assignment.","JLPT N3"
"～たとたん (〜ta totan)","Express the moment something happens; 'as soon as', 'the moment', 'the instant'.","Verb-た form + とたん","ドアを開けたとたん、猫が逃げ出した。","Doa wo aketa totan, neko ga nigedashita.","As soon as I opened the door, the cat ran away.","JLPT N3"
"～たびに (〜tabi ni)","Express 'every time' or 'whenever'.","Verb-たform + びに, Noun + ごとに","彼女に会うたびに、心が弾む。","Kanojo ni au tabi ni, kokoro ga hazumu.","Every time I meet her, my heart leaps.","JLPT N3"
"～だものだ (〜da mono da)","Express the reason or cause, often used to justify something.","Verb-casual + んだものだ, い-Adjective + んだものだ, な-Adjective + なんだものだ, Noun + なんだものだ","疲れたんだものだから、休みたい。","Tsukareta n da mono da kara, yasumitai.","I want to rest because I'm tired.","JLPT N3"
"～ちゃった (〜chatta)","Express an unintentional action or a regretful action; 'ended up doing', 'did accidentally'.","Verb-て form て/で + ちゃった","忘れ物をしたちゃった。","Wasuremono wo shita chatta.","I accidentally left something behind.","JLPT N3"
"～ついでに (〜tsuide ni)","To do something while doing, or after completing another action; 'while', 'by the way', 'in passing'.","Verb-noun form + ついでに or Verb て-form + ついでに","買い物に行くついでに、郵便局で手紙を出しましょう。","Kaimono ni iku tsuide ni, yuubinkyoku de tegami wo dashimashou.","Let's send a letter at the post office while going shopping.","JLPT N3"
"～っけ？ (〜kke?)","Used to express that one is trying to recall some information.","Verb-casual (plain) form + っけ?, い-Adjective + っけ?, な-Adjective + だっけ?, Noun + だっけ?","彼は何時に来るっけ？","Kare wa nanji ni kuru kke?","What time is he coming again?","JLPT N3"
"～っぱい (〜ppai)","Expresses fullness or completeness; 'full', 'full of', 'filled with'.","Noun + で + っぱい, Verb-てform + っぱい","部屋が荷物でいっぱいです。","Heya ga nimotsu de ippai desu.","The room is full of luggage.","JLPT N3"
"～っぱなし (〜ppanashi)","Indicate a state where an action has been done and remains unchanged or unfinished.","Verb-ますstem + っぱなし","窓を開けっぱなしにすると、虫が入ってくる。","Mado o akeppanashi ni suru to, mushi ga haitte kuru.","If you leave the window open, bugs will come in.","JLPT N3"
"～つまり (〜tsumari)","Used for summarizing, restating, or clarifying a point; means 'in other words', 'that is to say', 'in short'.","Sentence + つまり + Explanation","彼は大学の教授です。つまり、専門家です。","Kare wa daigaku no kyouju desu. Tsumari, senmonka desu.","He is a university professor. In other words, he is an expert.","JLPT N3"
"～つもりでした (〜tsumori deshita)","Expressing a past intention or plan; 'was planning to', 'intended to', 'meant to'.","Verb-casual + つもりでした","昨日は友達に会うつもりでしたが、風邪を引いてしまった。","Kinou wa tomodachi ni au tsumori deshita ga, kaze wo hiite shimatta.","I was planning to meet my friend yesterday, but I caught a cold.","JLPT N3"
"～てくれと (〜te kureto)","Request someone to do something for you; 'please do', 'I ask you to'.","Verb-te form + くれと, い-adjective + くれと, な-adjective + だろう, Noun + だろう","電話をかけてくれと言われました。","Denwa wo kakete kureto iwaremashita.","I was asked to make a phone call.","JLPT N3"
"～てごらん (〜te goran)","Used to suggest or invite someone to try doing something;","Verb-て form + ごらん","そのゲームをやってごらん。","Sono geemu wo yatte goran.","Why don't you try playing that game?","JLPT N3"
"ですから～ (desu kara)","Expresses the reason or cause for something; 'because', 'since', 'so'.","Verb-ますstem + ですから, い-Adjective + ですから,な-Adjective + ですから, Noun + ですから","今日は寒いですから、コートを着てください。","Kyou wa samui desu kara, ko-to wo kite kudasai.","It is cold today, so please wear a coat.","JLPT N3"
"～てはじめて (〜te hajimete)","Express realization or action done for the first time; 'only after', 'not until'.","Verb-て form + はじめて","海外に行ってはじめて、日本の良さが分かりました。","Kaigai ni itte hajimete, Nihon no yosa ga wakarimashita.","Only after going abroad, I understood the good points of Japan.","JLPT N3"
"～てほしい (〜te hoshii)","Express a desire for someone else to do something; 'I want you to', 'I would like'.","Verb-て form + ほしい","子供にもっと勉強してほしい。","Kodomo ni motto benkyou shite hoshii.","I want my child to study more.","JLPT N3"
"～ても (〜temo)","Expresses the meaning 'even if', 'even though', or 'although'.","Verb-てform + も, い-Adjective + くても, な-Adjective + でも, Noun + でも","雨が降っても、運動会は開催されます。","Ame ga futtemo, undoukai wa kaisai saremasu.","The sports festival will be held even if it rains.","JLPT N3"
"～といいなあ (〜to ii naa)","Express a wish or hope; 'it would be nice if', 'I hope that'.","Verb-casual + といいなあ, い-Adjective + といいなあ, な-Adjective + だといいなあ, Noun + だといいなあ","明日晴れるといいなあ。","Ashita hareru to ii naa.","I hope it's sunny tomorrow.","JLPT N3"
"～という (〜to iu)","Used for quoting, defining or giving an example; 'called', 'that is to say', 'like'.","Noun + という + Noun, Verb-casual + という + Noun, い-Adjective + という + Noun, な-Adjective + という + Noun","本屋で「ハリー・ポッター」という本を買いました。","Hon'ya de 'Harry Potter' to iu hon o kaimashita.","I bought a book called 'Harry Potter' at the bookstore.","JLPT N3"
"～ということだ (〜to iu koto da)","Express a conclusion or hearsay; 'I heard', 'it means', 'it can be said'.","Verb-casual + ということだ, い-Adjective + ということだ, な-Adjective + だということだ, Noun + だということだ","彼は来週結婚するということだ。","Kare wa raishuu kekkon suru to iu koto da.","I heard that he is getting married next week.","JLPT N3"
"～というと (〜to iu to)","Used to provide an example or characteristic related to the topic being discussed; translates as 'when it comes to', 'speaking of', or 'in terms of'.","Noun + というと","日本料理というと、寿司が思い浮かぶ。","Nihon ryouri to iu to, sushi ga omoiukabu.","When it comes to Japanese cuisine, sushi comes to mind.","JLPT N3"
"～というの～ (〜to iu no〜)","Explain or emphasise a reason for a certain situation or action.","Verb-casual + というの, い-Adjective + というの, な-Adjective + だというの, Noun + だというの","遅刻したのは、電車が遅れたというのだ。","Chikoku shita no wa, densha ga okureta to iu no da.","The reason I was late is because the train was delayed.","JLPT N3"
"～というのは (〜to iu no wa)","Used to provide an explanation or definition; 'that is to say...', 'by that, I mean...'.","Phrase/sentence + というのは + explanation/definition","日本に行くというのは、日本に旅行することです。","Nihon ni iku to iu no wa, Nihon ni ryokou suru koto desu.","Going to Japan, that is to say, traveling to Japan.","JLPT N3"
"～というより (〜to iu yori)","Express a comparison with preference; 'rather than', 'more like', 'instead of'.","Verb-casual + というより, い-Adjective + というより, な-Adjective + だというより, Noun + だというより","この部屋は狭いというより、居心地がいい。","Kono heya wa semai to iu yori, igokochi ga ii.","Rather than saying this room is small, it's more like it's cozy.","JLPT N3"
"～といっても (〜to ittemo)","Express the meaning 'even though', 'although', 'but'.","Verb-casual + といっても, い-Adjective + といっても, な-Adjective + だといっても, Noun + だといっても","彼は有名だといっても、みんなに知られているわけではありません。","Kare wa yuumei da to ittemo, minna ni shirarete iru wake de wa arimasen.","Even though he is famous, it does not mean that everyone knows him.","JLPT N3"
"～とおり (〜toori)","Expresses that something is done 'as is', 'as stated', or 'as instructed'.","Verb-てform + とおり, Noun + のとおり","先生が言ったとおり、宿題をやりました。","Sensei ga itta toori, shukudai wo yarimashita.","I did my homework, just like the teacher said.","JLPT N3"
"～とく (〜toku)","Express the idea of doing something in advance or preparing for something.","Verb-て form + とく","夜遅くなるから、今晩のご飯を作っておく。","Yoru osoku naru kara, konban no gohan wo tsukutte toku.","Since it will get late at night, I'll prepare tonight's dinner in advance.","JLPT N3"
"～ところが (〜tokoro ga)","Expresses a contrast or unexpected outcome; 'however', 'but', 'even though'.","Phrase 1 (situation) + ところが + Phrase 2 (unexpected result)","彼はいつも遅刻するところが、今日は早く来ました。","Kare wa itsumo chikoku suru tokoro ga, kyou wa hayaku kimashita.","He is always late, but today he came early.","JLPT N3"
"～ところだった (〜tokoro datta)","Expresses a near miss or a situation that almost happened; 'was just about to', 'almost', 'nearly'.","Verb-te form + いるところだった, い-Adjective + ところだった, な-Adjective + なところだった, Noun + のところだった","もう少しで遅れるところだった。","Mou sukoshi de okureru tokoro datta.","I was just about to be late.","JLPT N3"
"ところで (tokorode)","Used for changing the topic or bringing up a new topic; 'by the way', 'speaking of'.","ところで + new topic or question","ところで、昨日の宿題はもう終わりましたか？","Tokorode, kinou no shukudai wa mou owari mashita ka?","By the way, did you finish yesterday's homework?","JLPT N3"
"～としたら (〜to shitara)","Express a hypothetical situation; 'if', 'suppose', 'assuming'.","Verb-casual + としたら, い-Adjective + としたら,な-Adjective + だとしたら, Noun + だとしたら","明日雨が降るとしたら、傘を持って行きましょう。","Ashita ame ga furu to shitara, kasa wo motte ikimashou.","If it rains tomorrow, let's bring an umbrella.","JLPT N3"
"～として (〜to shite)","Indicates a role, capacity, or identity; 'as', 'in the capacity of'.","Verb-casual + として, い-Adjective + として, な-Adjective + だとして, Noun + だとして","彼は弁護士として働いています。","Kare wa bengoshi to shite hataraite imasu.","He is working as a lawyer.","JLPT N3"
"～どんなに～ことか (〜donna ni〜koto ka)","Expresses the extent of something or emphasizes the degree of a condition or situation.","どんなに + Adjective + ことか, どんなに + Verb + ことか","どんなに疲れたことか、言葉では表せません。","Donna ni tsukareta koto ka, kotoba de wa arawasemasen.","I can't put into words how tired I am.","JLPT N3"
"どんなに～ても (donna ni ~ temo)","Expresses 'no matter how much' or 'even if'; emphasizes the degree of a situation.","どんなに + Verb-てform + も, どんなに + い-Adjective-てform + も, どんなに + な-Adjective + でも","どんなに勉強しても、まだわからないことがある。","Donna ni benkyou shite mo, mada wakaranai koto ga aru.","No matter how much I study, there are still things I don't understand.","JLPT N3"
"～ないことはない (〜nai koto wa nai)","Express the idea that 'it's not that it's impossible' or 'it's not that it cannot be done'.","Verb-ない form + ことはない","この問題を解けないことはないが、時間がかかりそうだ。","Kono mondai wo tokenai koto wa nai ga, jikan ga kakari sou da.","It's not that I can't solve this problem, but it seems like it will take time.","JLPT N3"
"～ないと (〜nai to)","Express a condition; 'if... not', 'unless', 'must'.","Verb-negative form + ないと","朝食を食べないと、お腹が空く。","Asa gohan wo tabenai to, onaka ga suku.","If I don't eat breakfast, I will be hungry.","JLPT N3"
"～なぜなら (〜nazenara)","Express a reason or explanation; 'because', 'the reason is'.","Sentence/Statement + なぜなら + Reason + から/だから","このレストランが大好きだ。なぜなら料理が美味しいから。","Kono resutoran ga daisuki da. Nazenara ryouri ga oishii kara.","I love this restaurant because the food is delicious.","JLPT N3"
"～など (〜nado)","Indicates a non-exhaustive list of examples; 'such as', 'things like', 'among others'.","Noun + など","魚、果物などを市場で買いました。","Sakana, kudamono nado wo ichiba de kaimashita.","I bought fish, fruits, and such at the market.","JLPT N3"
"～なんか (〜nanka)","Expresses the idea of 'things like' or 'something like', used for listing examples or downplaying something.","Noun + なんか, Verb-casual + なんか, い-Adjective + なんか, な-Adjective + なんか","お金なんかいらない。","Okane nanka iranai.","I don't need money or anything like that.","JLPT N3"
"～において (〜ni oite)","Indicates the place, time, or context where an action or situation takes place.","Noun (Place/Time/Context) + において","日本において、お盆は家族が集まる大切な行事です。","Nihon ni oite, obon wa kazoku ga atsumaru taisetsu na gyouji desu.","In Japan, Obon is an important event where families gather.","JLPT N3"
"～にかわって (〜ni kawatte)","Expresses 'in place of', 'on behalf of', or 'instead of'.","Noun + にかわって","彼が病気なので、私が会議に出席することになりました。私が彼にかわって会議に出席します。","Kare ga byouki na no de, watashi ga kaigi ni shusseki suru koto ni narimashita. Watashi ga kare ni kawatte kaigi ni shusseki shimasu.","He is sick, so I will attend the meeting. I will attend the meeting on his behalf.","JLPT N3"
"～にしては (〜ni shite wa)","Express 'for' or 'considering' in the sense of being unusual or unexpected.","Verb-casual + にしては, い-Adjective + にしては, な-Adjective + にしては, Noun + にしては","彼女は初心者にしては、上手に水泳ができる。","Kanojo wa shoshinsha ni shite wa, jouzu ni suiei ga dekiru.","Considering she is a beginner, she can swim well.","JLPT N3"
"～にしても (〜ni shitemo)","Expresses 'even if', 'no matter', 'regardless of'","Verb-casual + にしても, い-Adjective + にしても, な-Adjective + だにしても, Noun + だにしても","雨が降るにしても、学校へ行かなければなりません。","Ame ga furu ni shitemo, gakkou e ikanakereba narimasen.","Even if it rains, I have to go to school.","JLPT N3"
"～について (〜ni tsuite)","Expressing 'about', 'concerning', or 'regarding'.","Noun + について","日本の文化について学びたいです。","Nihon no bunka ni tsuite manabitai desu.","I want to learn about Japanese culture.","JLPT N3"
"～にとって (〜ni totte)","Express the meaning 'for', 'to', 'from the perspective of'.","Noun (person or thing) + にとって + Verb/Adjective/Noun","私にとって、健康は一番大切なことです。","Watashi ni totte, kenkou wa ichiban taisetsu na koto desu.","For me, health is the most important thing.","JLPT N3"
"～によって (〜ni yotte)","Indicates the reason or cause, difference depending on a factor, or methods used.","Verb-casual + によって, い-Adjective + によって, な-Adjective + によって, Noun + によって","その事故は悪天候によって引き起こされた。","Sono jiko wa akutenkou ni yotte hikiokosareta.","The accident was caused by bad weather.","JLPT N3"
"～によれば (〜ni yoreba)","Means 'according to', 'based on' or 'by'.","Noun + によれば","天気予報によれば、明日は晴れるでしょう。","Tenki yohou ni yoreba, ashita wa hareru deshou.","According to the weather forecast, it will be sunny tomorrow.","JLPT N3"
"～に対して (～ni taishite)","Indicates a target or contrast; 'toward', 'against', 'in contrast to', 'in response to'.","Verb-casual + に対して, い-Adjective + に対して, な-Adjective + に対して, Noun + に対して","子供たちに対して、親は常にやさしくあるべきです。","Kodomotachi ni taishite, oya wa tsune ni yasashiku aru beki desu.","Parents should always be kind towards their children.","JLPT N3"
"～に比べて (〜ni kurabete)","Comparing to; in comparison with; as opposed to.","Verb-casual + に比べて, い-Adjective + に比べて, な-Adjective + だ/である + に比べて, Noun + だ/である + に比べて","夏に比べて、冬は寒いです。","Natsu ni kurabete, fuyu wa samui desu.","Winter is cold compared to summer.","JLPT N3"
"～に関して (〜ni kanshite)","Regarding, concerning, about, with respect to.","Noun + に関して","健康に関して気を付けることが大切です。","Kenkou ni kanshite ki wo tsukeru koto ga taisetsu desu.","It is important to be careful regarding health.","JLPT N3"
"～の～ (〜no 〜)","Indicates possession, attribution, or connection between two nouns.","Noun1 + の + Noun2","これは私の傘です。","Kore wa watashi no kasa desu.","This is my umbrella.","JLPT N3"
"～ばかり (〜bakari)","Expresses 'only', 'nothing but', 'always', 'just'.","Verb-ますstem + ばかり, い-Adjective + ばかり, な-Adjective + ばかり, Noun + ばかり","彼はゲームばかりしている。","Kare wa geemu bakari shite iru.","He is always playing games.","JLPT N3"
"～ばかりか (〜bakarika) ～も (mo)","Not only... but also; more than just; not just","Verb-casual + ばかりか/も, い-Adjective + ばかりか/も, な-Adjective + だ + ばかりか/も, Noun + だ + ばかりか/も","彼女は英語ばかりか、フランス語も話せます。","Kanojo wa eigo bakarika, furansugo mo hanasemasu.","Not only can she speak English, but she can also speak French.","JLPT N3"
"～はずだ (〜hazu da)","Expresses an expectation, 'should' or 'it is supposed to'.","Verb-casual + はずだ, い-Adjective + はずだ, な-Adjective + なはずだ, Noun + のはずだ","彼はもう着いたはずだ。","Kare wa mou tsuita hazu da.","He should have arrived by now.","JLPT N3"
"～ば～のに (〜ba 〜noni)","Expresses regret or dissatisfaction; 'if only', 'wish'","Verb-ば form + ～のに, い-Adjective-ば form + ～のに, な-Adjective + であれば + ～のに, Noun + であれば + ～のに","もっと早く来れば、電車に間に合ったのに。","Motto hayaku kureba, densha ni maniatta noni.","If only I had come earlier, I would have made it to the train.","JLPT N3"
"～ば～ほど (〜ba 〜hodo)","Expresses 'the more ~, the more ~'; a proportional relationship between two phrases.","Verb-casual + ば + Verb-casual + ほど, い-Adjective + ば + い-Adjective + ほど, な-Adjective + であれば + な-Adjective + ほど","早く起きれば起きるほど、時間がたくさんある。","Hayaku okireba okiru hodo, jikan ga takusan aru.","The earlier you wake up, the more time you have.","JLPT N3"
"～はもちろん～も (〜wa mochiron 〜mo)","This grammar point is used for emphasizing that not only one thing but also another thing is included. It means 'not only... but also' or 'of course... and...'.","Noun1 + はもちろん + Noun2 + も","彼は数学はもちろん、英語も得意です。","Kare wa suugaku wa mochiron, eigo mo tokui desu.","Not only is he good at math, but he is also good at English.","JLPT N3"
"～ばよかった (〜ba yokatta)","Express a sense of regret; 'I wish', 'it would have been better if'.","Verb-ば-form + よかった, い-Adjective-く + ばよかった, な-Adjective + ならよかった","もっと早く起きればよかった。","Motto hayaku okireba yokatta.","I wish I had woken up earlier.","JLPT N3"
"～ふりをする (〜furi wo suru)","Pretending or acting as if; 'pretend', 'act like'.","Verb (dictionary form) + ふりをする, い-Adjective + ふりをする, な-Adjective + ふりをする, Noun + ふりをする","彼は知らないふりをしました。","Kare wa shiranai furi wo shimashita.","He pretended not to know.","JLPT N3"
"～べきだ (〜beki da)","Express an obligation or something that should be done.","Verb-dictionary form + べきだ, い-Adjective + べきだ, な-Adjective + だべき, Noun + だべき","勉強するべきだ。","Benkyou suru beki da.","You should study.","JLPT N3"
"～ほど～ (〜hodo〜)","Expresses the degree or extent; 'about', 'to the extent', 'as much as'.","Verb-casual + ほど, い-Adjective + ほど, な-Adjective + ほど, Noun + ほど","彼女は私ほど速く走ることができません。","Kanojo wa watashi hodo hayaku hashiru koto ga dekimasen.","She cannot run as fast as me.","JLPT N3"
"～ますように (〜masu you ni)","Used to express a wish or hope for oneself or someone else.","Verb-ます form, remove final る + ように","明日のテストで良い点をとりますように。","Ashita no tesuto de ii ten wo torimasu you ni.","I hope I get good grades on tomorrow's test.","JLPT N3"
